Date,ret_net,ret_gross,ret_bm,turnover,tcost,ret_rf,w_CH,w_EU,w_AU,w_US,w_EM,w_UK,w_JP
1999-04-30,0.0,0.0,0.0,0.0,0.0,0.0042084106495823,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999-05-31,-0.0005955581529405821,-0.0005955581529405821,0.0,0.5,0.0,0.0040076091277567,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0
1999-06-30,-0.001774472311849092,-0.001774472311849092,0.0,0.3330705436375859,0.0,0.0044092523317122,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333
1999-07-31,-0.00032889044437030735,-0.00032889044437030735,0.0,0.0008872361559245368,0.0,0.0042084106495823,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333
1999-08-31,-0.00010097114675381805,-0.00010097114675381805,0.0,0.33453963476491366,0.0,0.0044092523317122,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0
1999-09-30,-0.00035552962173368563,-0.00035552962173368563,0.0,0.3334910893475084,0.0,0.0042084106495823,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333
1999-10-31,-0.0009722612145858233,-0.0009722612145858233,0.0,0.00036718860609591397,0.0,0.0042084106495823,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333
1999-11-30,0.0007655941819236419,0.0007655941819236419,0.0,0.3336165212719301,0.0,0.0042084106495823,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333
1999-12-31,0.0014661971176789614,0.0014661971176789614,0.0,0.3340004157767281,0.0,0.0044092523317122,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333
2000-01-31,-0.0011932342155261213,-0.0011932342155261213,0.0,0.3340664318921728,0.0,0.0040076091277567,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0
2000-02-29,-4.615254495965446e-05,-4.615254495965446e-05,-0.001212828824101564,0.3340956064768427,0.0,0.0040076091277567,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333
2000-03-31,0.00043269965431661867,0.00043269965431661867,0.05442926311149998,0.0007275480786159694,0.0,0.0046101341821787,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333
2000-04-30,-0.0016914685089765382,-0.0016914685089765382,-0.038301109449248694,0.3335995042422151,0.0,0.0038068477582051,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333
2000-05-31,-0.0020210537734298706,-0.0020210537734298706,-0.011619824387154143,0.3339551542113217,0.0,0.0044092523317122,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333
2000-06-30,0.0016330489613131105,0.0016330489613131105,0.030136117069895274,0.3333984608030185,0.0,0.0044092523317122,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333
2000-07-31,-0.00020178985427950674,-0.00020178985427950674,-0.023792266927673333,0.3345951461828126,0.0,0.0040076091277567,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333
2000-08-31,0.0005379712028683592,0.0005379712028683592,0.01687493416937813,0.6670481440253024,0.0,0.0046101341821787,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0
2000-09-30,-0.000340584572863604,-0.000340584572863604,-0.03315693836523392,0.3341377004455729,0.0,0.0060171308192813,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333
2000-10-31,0.0011089453078438893,0.0011089453078438893,-0.015321869419774314,0.666930453540489,0.0,0.0066208316393145,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0
2000-11-30,0.00211273216623035,0.00211273216623035,-0.02818826191734969,0.3338878059872552,0.0,0.0042084106495823,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0
2000-12-31,0.0023996533992792406,0.0023996533992792406,0.02434948321520647,0.33438969941644847,0.0,0.0060171308192813,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0
2001-01-31,0.0031135074120001898,0.0031135074120001898,0.010555943009654012,0.001199826699639639,0.0,0.0063189359585271,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0
2001-02-28,0.00035147800007965613,0.00035147800007965613,-0.048795867360239,0.33489008703933343,0.0,0.0038068477582051,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0
2001-03-31,0.001468301055288353,0.001468301055288353,-0.04922215763514304,0.6670158060481873,0.0,0.0044092523317122,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0
2001-04-30,0.002865389051931973,0.002865389051931973,0.038953114457780824,1.0007341505276441,0.0,0.0040076091277567,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333
2001-05-31,-0.00044061972326233284,-0.00044061972326233284,-0.008216110784206476,0.3347660278592993,0.0,0.0022023115407312,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333
2001-06-30,-0.000494935296510864,-0.000494935296510864,-0.021359090411263826,0.33311302347170213,0.0,0.0021021013305981,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333
