Date,ret_net,ret_gross,ret_bm,turnover,tcost,ret_rf,w_US,w_AU,w_CH,w_JP,w_UK,w_EM,w_EU
2011-11-30,0.012480740886594906,0.012480740886594906,-0.019006452021246845,18.445988347191008,0.0,0.0,-9.106781605915817,4.554798241103418,-4.552940783112189,-13.659153722416615,0.0,13.657290515960462,9.119268095267335
2011-12-31,-0.0362249119204263,-0.0362249119204263,0.004668350049285452,13.665394092859913,0.0,0.0,-13.597745097928431,4.524131574291967,-9.062475353488301,0.0,-4.551565388117914,13.597745097928431,9.05368425539382
2012-01-31,0.02722808215141742,0.02722808215141742,0.030687669362053693,13.693388132283896,0.0,0.0,-13.42307979475893,0.0,-4.471219005411797,8.949612741064978,-8.937167394630292,13.425912265701061,4.483169270186396
2012-02-29,-0.014296299518892209,-0.014296299518892209,0.017398497865686924,18.020642620737547,0.0,0.0,-13.023805034858357,8.657125000625541,-4.340409291743665,0.0,-8.675630028523525,4.341268344952786,13.027154710028329
2012-03-31,0.008434746181345302,0.008434746181345302,0.0009502302630670645,14.17463816266202,0.0,0.0,-13.89229099303069,0.0,-4.629847144237015,4.630880330598674,-9.257840781835226,13.89229099303069,9.265242341654911
2012-04-30,0.01096119340003303,0.01096119340003303,0.002632070912530926,4.638071233673342,0.0,0.0,-13.897482399627192,0.0,-4.63386969936199,4.632610840120873,-9.262221221639704,9.264010946980742,13.907912726927304
2012-05-31,0.020753570287974678,0.020753570287974678,-0.04326212620198311,13.955185265419422,0.0,0.0001,-13.929703560493873,4.6693468042762465,-9.289225732537021,-4.64311754561607,0.0,9.28646904032925,13.926984564329443
2012-06-30,-0.017747062268887778,-0.017747062268887778,0.02343200744667273,9.841367839466917,0.0,0.0,-14.212282865360423,4.717850065900439,0.0,-9.474855243573616,-4.734136762071366,9.474855243573616,14.210822499262463
2012-07-31,0.019812119798872346,0.019812119798872346,0.011216697687921773,15.579902711252512,0.0,0.0,-14.891656022739246,9.914448254072488,4.966343927015565,-9.930762013819761,0.0,-4.963885340913082,14.925323316182908
2012-08-31,0.00451132892883137,0.00451132892883137,0.016022967103475283,20.253803491241186,0.0,0.0001,-15.205930044593861,5.061308498141127,0.0,-5.067116577644949,-10.132268237635316,10.137286696395908,15.211230994265923
