Date,ret_net,ret_gross,ret_bm,turnover,tcost,ret_rf,w_US,w_AU,w_UK,w_CH,w_JP,w_EU,w_EM
2003-03-31,-0.020408569695262495,-0.020408569695262495,0.0007118765660765192,3.315125026720978,0.0,0.001,-7.0449569501876805,9.187870921679801,0.0,2.715011055216623,-10.2870952126009,5.950799599167876,-0.542037982970989
2003-04-30,-0.00020580829936295807,-0.00020580829936295807,0.04390266004896226,2.6777767976058637,0.0,0.001,-6.415322284509479,9.620791773702507,0.0,3.208985013925482,-9.628346646394494,6.4149630034985945,-3.201276668521974
2003-05-31,-0.010279451808998944,-0.010279451808998944,0.04952453470403406,7.4636501259787025,0.0,0.0009,-3.46849762871333,10.402079037719284,0.0,6.941880034570043,-10.409179783625655,3.4766800479370237,-6.953241159696364
2003-06-30,-0.02629485776227157,-0.02629485776227157,-0.0014577828712760699,0.06992378098072827,0.0,0.001,-3.4872041381922276,10.436984116276639,0.0,6.963091433661913,-10.446283592417167,3.48100595149839,-6.97388862858982
2003-07-31,-0.025622801310324066,-0.025622801310324066,-0.007534471300557399,0.26819939471554033,0.0,0.0007000000000000001,-3.435932405016727,10.286064197370314,0.0,6.875343178534179,-10.31352374983626,3.4331152686417528,-6.8706892910035835
2003-08-31,-0.017355379169985804,-0.017355379169985804,0.006985041585706675,0.1574033416141558,0.0,0.0007000000000000001,-3.4076317005572605,10.208849200644504,0.0,6.8194405125085185,-10.22548026158474,3.406419077408617,-6.818952207589623
2003-09-30,-0.011828035553410448,-0.011828035553410448,0.03352236095528882,0.8487535641987414,0.0,0.0008,-3.5497679812692033,10.644978699593736,0.0,7.105166778053313,-10.64820365569339,3.5534023457857193,-7.117404222023586
2003-10-31,-0.0583751165473001,-0.0583751165473001,0.023960523498449016,0.4092763210200776,0.0,0.0007000000000000001,-3.619789693704925,10.839886298424295,0.0,7.238837885536792,-10.86099830685489,3.6142273511031386,-7.27053865105171
2003-11-30,-0.06139408349366235,-0.06139408349366235,0.016213877431540347,4.332789967208461,0.0,0.0007000000000000001,-3.3729368250259015,10.090023406547335,0.0,6.7445607392988025,-6.746552796527097,3.3729368250259015,-10.149425432812702
2003-12-31,-0.013488864463247693,-0.013488864463247693,0.05063331442830643,3.8823960244311344,0.0,0.0008,-3.2037537496296444,6.4136450849780156,0.0,9.616086327534447,-6.407823557218033,3.2075361418455968,-9.639179111973629
2004-01-31,-0.008757604172871424,-0.008757604172871424,0.009052709710837714,6.626497677014123,0.0,0.0007000000000000001,-6.56439985256755,9.835150597667269,0.0,6.570987510887246,-3.2823651206156845,3.2828565183219247,-9.850987257866077
2004-02-29,0.008981794713713851,0.008981794713713851,0.008914564156645488,8.575468947706208,0.0,0.0006,-6.156109113734441,7.278474632055826,0.0,0.5597035347120597,-2.7983722442642565,10.640331144122563,-9.51504615817804
2004-03-31,0.0043946194629875274,0.0043946194629875274,0.004575978160007654,3.421767693635009,0.0,0.0009,-6.132398441440165,7.252007027338767,0.0,-2.787995577396966,0.5574907674036508,10.602130225137065,-9.486839381579369
2004-04-30,-0.0161155268469873,-0.0161155268469873,-0.03202747580680698,8.127660406291502,0.0,0.0008,-2.9228190328134573,5.835712157392855,0.0,-7.305627736623405,1.4614095164067298,14.585680403847924,-11.67047083505763
2004-05-31,-0.02094376550399099,-0.02094376550399099,0.008771320820335493,4.539190304581922,0.0,0.0006,-2.9519158621190575,5.912595452675879,0.0,-11.809958262468593,1.4760307235286723,14.75429487669409,-7.401990693814974
2004-06-30,0.024522033904710618,0.024522033904710618,0.011190230158493408,12.353961549925057,0.0,0.0008,-3.417244409097605,6.830901049238032,0.0,-13.652622001006678,-8.545251991704559,17.095941477805408,1.7127979086701182
2004-07-31,0.0017028650906588828,0.0017028650906588828,-0.018259505651387786,17.71566470385238,0.0,0.001,-3.89405123904469,14.801966461917685,0.0,-13.257126472532747,0.7788102478089373,10.127624421661734,-8.555520554720262
2004-08-31,-0.007634262595429882,-0.007634262595429882,0.014722827915299774,21.62434376483428,0.0,0.0011,-3.5007499123469663,7.007482718779753,0.0,-8.762435166421882,17.50637380148182,1.7509092136749478,-14.009214917763094
2004-09-30,0.024632462137892087,0.024632462137892087,0.016597170084819757,3.9590962103115452,0.0,0.0011,-4.219383100149619,10.980778067482179,0.0,-9.284538978601113,16.035268851997397,0.8440897179443044,-14.331582096535259
2004-10-31,-0.10824910341227903,-0.10824910341227903,0.02721990404982977,9.223112479149243,0.0,0.0011,-3.490698714527981,1.7453493572639918,0.0,-8.728529028081686,17.45349357263991,6.984995898250976,-14.072860188957488
2004-11-30,0.00501715024955437,0.00501715024955437,0.0440652883664745,21.59355356047993,0.0,0.0015,1.4495302310585492,14.498430600192727,0.0,-7.248317095674545,5.798120924234194,-2.899060462117096,-11.59368704744427
2004-12-31,-0.0610221144598299,-0.0610221144598299,0.027301244887431908,4.489353639824169,0.0,0.0016,5.747159748901082,14.35121774609486,0.0,-7.193410067607484,1.4366454030226719,-2.872854787533926,-11.52978015733703
2005-01-31,0.016541012757986754,0.016541012757986754,-0.018009085671903957,0.9005904105332468,0.0,0.0016,5.510651611924075,13.754805003737907,0.0,-6.889719032178339,1.3776629029810192,-2.756716652935285,-10.980142820771388
2005-02-28,0.06274858496442046,0.06274858496442046,0.0161741224137959,7.073285217056429,0.0,0.0016,0.6343663017782335,12.023528954300481,0.0,-6.980803233445915,8.246761923117042,-3.171998205243253,-10.689107155542171
2005-03-31,-0.0611043694120565,-0.0611043694120565,-0.016053159290623786,17.489182900067476,0.0,0.0021,-6.7687014520430955,10.143404875250415,0.0,-10.159259022193183,3.385028288710727,-3.3843507260215477,6.722773666884627
2005-04-30,0.08115023937215296,0.08115023937215296,-0.002547047491848531,6.97249449486721,0.0,0.0021,-3.202140127778413,6.422685832993686,0.0,-9.609257107714528,3.202301171738562,-6.4098671643279514,9.677427634460798
2005-05-31,-0.017138376660110432,-0.017138376660110432,-0.001754488902569462,9.308037438095006,0.0,0.0024,-1.6878752274183504,5.065191606761722,0.0,-8.43937613709175,8.438951720248545,-5.063891556369381,1.669861217209105
2005-06-30,-0.007844993792075953,-0.007844993792075953,-4.4818665406509695e-05,11.101790424728323,0.0,0.0023,2.2671018376783896,4.987110061499111,0.0,-5.896864902064131,7.7081462481065275,-0.4535108316385779,-8.6198274073734
2005-07-31,0.015390529071803688,0.015390529071803688,0.012260673131825772,6.213048707588468,0.0,0.0024,1.7154000177861246,5.145669675836875,0.0,-8.57350910432037,8.576577356468803,-3.428350750507484,-3.4203966661921443
2005-08-31,-0.013029589312604001,-0.013029589312604001,0.013043921390037516,17.501388708457377,0.0,0.003,-4.961760786632617,5.865772774081777,0.0,-7.667473232739668,-2.2554569762505654,0.4510217722462794,8.554866859982189
2005-09-30,-0.03340981349871451,-0.03340981349871451,0.003509227003188009,5.421406759520725,0.0,0.0029,-2.2557202087915154,5.85677472811561,0.0,-4.96157402749279,-7.66944870989115,0.45094020876335034,8.545618195797779
2005-10-31,-0.007375412662245118,-0.007375412662245118,-0.021193160657350774,4.841752963548757,0.0,0.0027,2.6027376615065996,5.206012435081693,0.0,-5.200704860835644,-7.809391070572129,-2.5983326875922037,7.792303109749439
2005-11-30,0.024774145763478493,0.024774145763478493,0.011257917388529659,13.475458461210023,0.0,0.0031,-2.692411641343691,2.6932727597317565,0.0,-8.070731447987182,5.385359419013063,-5.377111885517329,8.086396941866862
2005-12-31,0.0020637653860129147,0.0020637653860129147,0.017076521591678162,5.71106568653907,0.0,0.0032,-5.550618214869309,5.550618214869309,0.0,-8.334334947968586,2.7753091074346545,-2.7761578079167246,8.33724741383667
2006-01-31,0.034567856560188515,0.034567856560188515,0.029590668196876946,7.5702230036736635,0.0,0.0034999999999999996,-8.044458316764588,0.4733059219357978,0.0,-5.207359355268037,6.152875628069559,-2.3662665713665665,9.02647054995402
2006-02-28,-0.0028393634408522494,-0.0028393634408522494,-0.002952835120293318,16.19095258381365,0.0,0.0034000000000000002,5.106779740916555,-5.107306332487934,0.0,-8.51043263402758,8.509168812443397,-1.7023496280886647,1.7013006778033741
2006-03-31,0.009609375604760375,0.009609375604760375,0.006509549926963398,14.1497032869425,0.0,0.0037,9.844535287438262,-1.968501047041517,0.0,-4.92778323898851,3.9376161116890906,0.9833847788654525,-7.859642516358016
2006-04-30,0.0003949503748610925,0.0003949503748610925,0.027651495465833342,7.794267812629705,0.0,0.0036,8.505433570814073,1.6969290791568687,0.0,-5.10222159630928,-1.7011722534205758,5.105898655007643,-8.504472504873867
2006-05-31,-0.00982911662447561,-0.00982911662447561,-0.009579427712649635,17.037309880776032,0.0,0.0043,5.117038035870617,8.523018593274346,0.0,-8.531000631534567,1.7041407052993716,-5.1167682125154945,-1.7062576070187478
2006-06-30,0.01675678344154832,0.01675678344154832,-0.004859094337308245,12.387353394702055,0.0,0.004,0.9872528326848393,3.9460700995837414,0.0,-7.895611959352851,-1.9736132976579166,-4.935483249005353,9.888142357189093
2006-07-31,0.02524298901829753,0.02524298901829753,0.007211427147981286,2.167793196513588,0.0,0.004,1.7063748131344918,5.108737595057598,0.0,-8.534479032463326,-1.706632564595387,-5.119124439403476,8.570366617288395
2006-08-31,-0.007648232270508405,-0.007648232270508405,0.018441261137778664,20.754561538975945,0.0,0.0042,4.9733050320729,2.2620470747206305,0.0,-0.4522566388029788,7.692192395430642,-8.588894957554395,-5.894041138137314
2006-09-30,-0.010227926307286549,-0.010227926307286549,0.005252609709792022,4.524872509405178,0.0,0.0040999999999999995,2.652403978423427,5.307612580393453,0.0,-2.6529435400411376,7.95761220428571,-7.957631677003603,-5.317281472365136
2006-10-31,-0.022856266739291337,-0.022856266739291337,0.024292395617105722,2.2052654004800587,0.0,0.0040999999999999995,0.4522525410970105,5.867404464176896,0.0,-2.261722606174619,8.590637186020187,-7.68553556120347,-4.985892290655296
2006-11-30,-0.009100635411282181,-0.009100635411282181,0.026168873440274742,10.967167525116565,0.0,0.0042,5.439830118085493,-0.4946891721795307,0.0,2.472650053675224,8.404903741214879,-6.431536108396662,-9.400259267810693
2006-12-31,-0.013298880251949596,-0.013298880251949596,0.0027610531237172165,1.5828255656050776,0.0,0.004,5.477054209158239,0.994660135585648,0.0,0.9954230529080247,8.464964304555874,-6.468170823037979,-9.47722975942176
2007-01-31,0.014626138708993087,0.014626138708993087,0.000610869102998679,6.684567923011569,0.0,0.0044,8.927365069554442,-1.1171033671741855,0.0,2.230910548469575,5.584938019888265,-4.463446929542506,-11.14803720248659
2007-02-28,-0.003456682099292746,-0.003456682099292746,0.007524035992735545,13.516816126095737,0.0,0.0038,9.656958194484758,-9.662170586285809,0.0,5.797181784295879,1.9296438329144439,-5.795398310146867,-1.929671597361699
2007-03-31,0.013844816187753963,0.013844816187753963,0.011415016497603014,4.70205419282553,0.0,0.0043,10.354496466070374,-6.200065204893181,0.0,6.210107333677584,2.071107709924173,-10.348594786693875,-2.073206701897322
2007-04-30,0.019080361125768205,0.019080361125768205,0.029820303782732482,13.304633862085803,0.0,0.0044,11.46831954799927,-2.2980988287980075,0.0,2.293663909599854,6.880991728799563,-6.8791749940867675,-11.446621002388143
2007-05-31,0.03552424802878619,0.03552424802878619,0.007622178357741927,15.795386608630926,0.0,0.0040999999999999995,13.626755436876312,-15.23638179346923,0.0,8.812826803211033,4.007667589094737,-0.8013621600301124,-10.373981627653963
2007-06-30,-0.035663175775051764,-0.035663175775051764,-0.006716283484492047,4.859363257359586,0.0,0.004,13.595316281615748,-10.394154093296134,0.0,8.792402342147758,3.9994272434216227,-0.7998512411063335,-15.228803708557724
