Date,ret_net,ret_gross,ret_bm,turnover,tcost,ret_rf,w_US,w_AU,w_CH,w_JP,w_UK,w_EM,w_EU
2002-09-30,0.012860944332651784,0.012860944332651784,-0.10964976491617318,0.0,0.0,0.0014000000000000002,0.4618499484545453,-0.7606199514229804,-0.4688867453407792,-0.14958436416019394,0.15600145567155196,0.0,0.7741006011305082
2002-10-31,-0.011196994871807616,-0.011196994871807616,0.07398839582541217,0.32221998451814365,0.0,0.0014000000000000002,0.45929169896688427,-0.7846823789013444,-0.1526755382102565,-0.45558252768493845,0.15305762635764406,0.0,0.7693941246002034
2002-11-30,-0.00473236596933525,-0.00473236596933525,0.05413744826486555,0.9272912237119113,0.0,0.0012,0.15400631305391188,-0.7807815775783205,-0.4598582019412303,0.4612674533535272,-0.1535424816726792,0.0,0.7741761288154555
2002-12-31,0.006956055688010027,0.006956055688010027,-0.04821259386869514,0.3376381720330444,0.0,0.0011,0.47557004883265486,-0.7957438968799482,-0.5095252257367714,0.16325648731544634,-0.1642205797229504,0.0,0.8376192218795788
2003-01-31,-0.009896478039518583,-0.009896478039518583,-0.030203629213024774,0.681208980592646,0.0,0.001,0.47505524975461755,-0.8301305479387765,-0.16050024966058862,-0.4702658190878393,0.16228036807381657,0.0,0.8136645208192518
2003-02-28,-0.04345724502699086,-0.04345724502699086,-0.017100825067233427,0.3521412444713698,0.0,0.0009,0.7924303217680925,-0.8235042427504988,-0.15973463655039855,-0.48207995450886004,0.15167958294153827,0.0,0.47775168407313595
2003-03-31,0.013373214038558245,0.013373214038558245,-0.0026226145839067794,0.34742738374123194,0.0,0.001,0.4667315605403559,-0.7750294155608584,-0.15558682213432837,-0.4662060310712817,0.15691113473192975,0.0,0.7865527875327412
2003-04-30,-0.004978846699365262,-0.004978846699365262,0.08943709722386362,0.02693475616100212,0.0,0.001,0.4768145439822499,-0.8262278400366635,-0.15840902121937508,-0.4732237018114781,0.16086127102987577,0.0,0.8152059013560259
2003-05-31,0.003136353216267311,0.003136353216267311,0.057688236985301566,0.9745100094546812,0.0,0.0009,-0.4847725140417064,-0.8440716108825983,-0.1685318537832856,0.482548598796173,0.16573471221976357,0.0,0.852229020907921
2003-06-30,-0.051733318202060966,-0.051733318202060966,0.01776222084265333,0.6936077112232912,0.0,0.001,-0.48418176794438955,-0.8350470795480784,0.1548889873366582,0.8026855933687117,-0.16350067619366895,0.0,0.47342162477870603
2003-07-31,0.01097655774282071,0.01097655774282071,0.020512262629590827,0.05264321947269687,0.0,0.0007000000000000001,-0.4684989966659068,-0.754567187027475,0.1538094120403167,0.77509009276705,-0.15238000874904825,0.0,0.4575232453778841
2003-08-31,0.014376901663134963,0.014376901663134963,0.021888402965644538,0.6617895312985562,0.0,0.0007000000000000001,-0.47760691616182144,-0.7968976525113622,0.1557472090383808,0.8202517294435628,0.4687092536488077,0.0,-0.1558267217944327
2003-09-30,0.033130462251616005,0.033130462251616005,0.006417857465833121,0.9711110716396752,0.0,0.0008,-0.4741433790830398,-0.8325572593579946,0.1676168775176682,-0.16547950875471637,0.8340626377939404,0.0,0.503631094135758
2003-10-31,-0.024956820785230045,-0.024956820785230045,0.05954996555340464,1.0090074391472728,0.0,0.0007000000000000001,0.15606053082830892,-0.8156690319832807,0.46083240872604336,-0.15812416482240818,0.7979707630636562,0.0,-0.4660273265975497
2003-11-30,0.01204504730377719,0.01204504730377719,0.015464238130071362,0.6523854089675227,0.0,0.0007000000000000001,0.15600013049464917,-0.47986415996735976,0.48506123738871315,-0.7815115740283243,0.793920303834459,0.0,-0.1615608904183601
2003-12-31,-0.026156633296371877,-0.026156633296371877,0.06307386184068275,0.950922887192805,0.0,0.0008,0.7891401479444066,-0.8222146051322393,0.16427111503503922,-0.48357053250447546,0.4920739470007146,0.0,-0.16585670563981744
2004-01-31,-0.0050484647960451,-0.0050484647960451,0.016268081395822698,0.42911042204327193,0.0,0.0007000000000000001,0.5492669003636058,-0.9337072285282086,0.18043482756492898,-0.5566265448741679,0.9371285856188674,0.0,-0.18154500494107054
2004-02-29,0.03451458178916004,0.03451458178916004,0.017137692048866615,1.4880763155314198,0.0,0.0006,0.9158894581511193,0.18614030813931626,-0.18219853883612078,-0.5318713815654383,0.564304965147764,0.0,-0.9177502292474804
2004-03-31,0.03753961950045394,0.03753961950045394,-0.006169388154118716,1.1084878181742814,0.0,0.0009,0.8959777088330434,-0.17823972311578437,-0.5357451866067198,0.5620432178214348,0.17754148825239507,0.0,-0.8840378856839153
2004-04-30,0.04157210898617086,0.04157210898617086,-0.01991522122902567,1.445061653748919,0.0,0.0008,0.9017882456777112,0.17014048518609187,-0.17607311814952342,-0.8500273005271285,0.5224801074108876,0.0,-0.5267363106118679
2004-05-31,-0.010549656396612069,-0.010549656396612069,0.009812273395206184,0.3813041602521231,0.0,0.0006,0.8773373129069154,0.17478416208196867,-0.5433916245201573,-0.88463771457662,0.5440238557565665,0.0,-0.1786656480452853
2004-06-30,-0.005475227750930317,-0.005475227750930317,0.02104043991082194,0.38204598634535036,0.0,0.0008,0.904334758141882,-0.17748003462274156,-0.5447125094098436,-0.9094536371339286,0.5406416081870355,0.0,0.18119458708666591
2004-07-31,0.04479273766246732,0.04479273766246732,-0.03235879666863162,0.7407535271473262,0.0,0.001,0.9189661653387073,0.5560443949600044,-0.5366882725657002,-0.8965966929539626,0.18424810792289706,0.0,-0.18118096503947861
