Date,ret_net,ret_gross,ret_bm,turnover,tcost,ret_rf,w_US,w_AU,w_UK,w_CH,w_JP,w_EU,w_EM
1990-12-31,-0.010907956313265023,-0.010907956313265023,0.9078899585902542,0.0,0.0,0.006,-0.2646828027871861,-0.5299983060797506,0.0,0.2646809346209613,0.5190922179327103,0.0,0.0
1991-01-31,0.01081563195482433,0.01081563195482433,0.029385946060793477,0.007055778849912014,0.0,0.0052,-0.26307913392768184,-0.5370400530516439,0.0,0.26729319435164367,0.5436416245825065,0.0,0.0
1991-02-28,-0.0347524434883926,-0.0347524434883926,0.042958383939591505,0.8824676851252545,0.0,0.0048,0.2937579765239347,-0.5954533147398439,0.0,0.5576705642666366,-0.29072766953912,0.0,0.0
1991-03-31,-0.027783874323369668,-0.027783874323369668,-0.03386055397437793,0.8943582495159902,0.0,0.0044,0.0,-0.6153871888072001,-0.2856850242401503,0.2853139887830543,0.5879743499409265,0.0,0.0
1991-04-30,0.0031096823100230098,0.0031096823100230098,0.010679694515175697,1.0017336136948125,0.0,0.0053,0.7299405266163469,-0.7391826676510242,0.0,-0.36464846733359485,0.37700029067829516,0.0,0.0
1991-05-31,0.015168515881645075,0.015168515881645075,0.009590863812780182,0.7288535867442949,0.0,0.004699999999999999,0.36511636861655433,-0.3551586494724665,0.0,-0.7155970168295972,0.7208078135671545,0.0,0.0
1991-06-30,0.012564041695384096,0.012564041695384096,-0.03694667961050191,0.4097365822260668,0.0,0.0042,0.38623974481967793,-0.7826489276805062,0.0,-0.36805473542843276,0.7770279599846449,0.0,0.0
1991-07-31,-0.0012155651137947358,-0.0012155651137947358,0.0329370993005631,0.4026699888584056,0.0,0.0049,0.0,-0.786078977525054,0.4035567263741827,-0.3950403607350771,0.7763470467721536,0.0,0.0
1991-08-31,-0.008222918243081686,-0.008222918243081686,0.007367623438760518,1.1870850612761714,0.0,0.0046,0.7926524830979916,-0.8025721438979536,-0.39677481063315495,0.0,0.39847155319003524,0.0,0.0
1991-09-30,-0.021026416933439082,-0.021026416933439082,0.031909149856093943,0.005808201678421138,0.0,0.0046,0.7948495457340548,-0.8102933819799418,-0.415630876957633,0.0,0.4100482962700811,0.0,0.0
1991-10-31,0.02101327738326421,0.02101327738326421,0.012310499417475196,0.02774654463624393,0.0,0.0042,0.7917763372230743,-0.7791433542191282,-0.3948891390509208,0.0,0.4032694334302389,0.0,0.0
1991-11-30,0.010442658852307482,0.010442658852307482,-0.013834300167913538,1.194361774068625,0.0,0.0039000000000000003,0.39448299816303606,-0.7927032568386908,0.8051333323163604,0.0,-0.3964704147883981,0.0,0.0
1991-12-31,0.026359381571320117,0.026359381571320117,0.06075016072416051,0.4034415881018085,0.0,0.0038,0.39628549950830516,-0.38608923831946684,0.8427781788781012,0.0,-0.8266150584956194,0.0,0.0
1992-01-31,-0.004303759332704054,-0.004303759332704054,-0.01898676672875954,1.2258839876007463,0.0,0.0034000000000000002,0.0,0.7802588844732371,0.3794640437491282,-0.37739135427543,-0.7866353332796394,0.0,0.0
1992-02-29,-0.01360300561609262,-0.01360300561609262,-0.011961084399641386,1.5874911013768283,0.0,0.0028000000000000004,0.0,-0.7959322175702508,0.7791825496904604,-0.3804091885541763,0.3835558508178742,0.0,0.0
1992-03-31,-0.036553468291065594,-0.036553468291065594,-0.02855060606897486,0.4079568109543723,0.0,0.0034000000000000002,-0.39902917523885895,-0.8178915573000329,0.7922181201386207,0.0,0.3881491441092056,0.0,0.0
1992-04-30,0.03220390434168848,0.03220390434168848,0.00930388368812185,0.4257951170090071,0.0,0.0032,-0.386424440692176,-0.7606835744183698,0.7950875274038068,0.3842243920484274,0.0,0.0,0.0
1992-05-31,0.010466227384765929,0.010466227384765929,0.03393818573063201,0.7816365293384758,0.0,0.0028000000000000004,0.0,-0.3822796817466161,0.7904490562752265,0.39919715632114294,-0.7969003034649876,0.0,0.0
1992-06-30,0.02826155538488507,0.02826155538488507,-0.0012340826748786782,0.41878048110501154,0.0,0.0032,0.383352936052359,-0.37869026152607427,0.8022490862130549,0.0,-0.7786502053544545,0.0,0.0
1992-07-31,0.021410941675971882,0.021410941675971882,0.013142747993513337,0.028815191521423783,0.0,0.0031,0.38198289576273664,-0.3812757857179969,0.7771907351953421,0.0,-0.7564869035641099,0.0,0.0
1992-08-31,0.0028518053463298595,0.0028518053463298595,0.025437946273296763,1.1617446165865424,0.0,0.0026,0.3839154185977654,0.0,-0.3983182989937374,0.811281980257919,-0.7940272945156173,0.0,0.0
1992-09-30,0.018144447180553167,0.018144447180553167,0.0007429715286730865,0.8098560775847542,0.0,0.0026,0.3841073161150703,0.7673538875441683,-0.3453078339016088,0.0,-0.7880089225770767,0.0,0.0
1992-10-31,0.04914792777770674,0.04914792777770674,-0.027996426836520705,0.03116613719833017,0.0,0.0023,0.38554619469021556,0.7542035625507345,-0.33997609167404147,0.0,-0.7506257377892017,0.0,0.0
1992-11-30,0.018023393730483166,0.018023393730483166,-0.00216180704965252,0.8727276302972348,0.0,0.0023,0.9661482466187904,0.4746958288704596,-0.9444832173112744,0.0,-0.47833746444749237,0.0,0.0
1992-12-31,0.006602148937676326,0.006602148937676326,0.006032286474677573,0.016710675645548068,0.0,0.0028000000000000004,0.9647896153015321,0.4876997358873947,-0.9640237573016897,0.0,-0.48186344494956074,0.0,0.0
1993-01-31,0.006879381475437465,0.006879381475437465,0.010403616497864476,0.023776388435109125,0.0,0.0023,0.9819764434367985,0.48577481950960755,-0.9691294943494662,0.0,-0.49174238712150237,0.0,0.0
