Date,ret_net,ret_gross,ret_bm,turnover,tcost,ret_rf,w_EU,w_JP,w_AU,w_US,w_CH,w_EM,w_UK
2008-07-31,0.015911009472954773,0.015911009472954773,-0.011343954126205924,0.028018440034450143,0.0,0.0022023115407312,0.6845861089978003,0.6845861089978003,0.0,0.6845861089978003,0.0,0.0,0.0
2008-08-31,-0.011358852811500343,-0.011358852811500343,-0.016745445821676253,0.009416328980648703,0.0,0.0021021013305981,0.6836122261683527,0.6836122261683527,0.0,0.6836122261683527,0.0,0.0,0.0
2008-09-30,-0.03301709505045187,-0.03301709505045187,-0.06597605634725823,0.023184618428056247,0.0,0.0021021013305981,0.6903635716316912,0.6903635716316912,0.0,0.6903635716316912,0.0,0.0,0.0
2008-10-31,-0.005575262948681852,-0.005575262948681852,-0.10131355099831318,0.6823828223643844,0.0,0.0,0.0,0.6875063644968266,0.6875063644968266,0.6875063644968266,0.0,0.0,0.0
2008-11-30,0.04087551408192723,0.04087551408192723,-0.006613744759143336,0.6879221076593782,0.0,0.0,0.0,0.6810996152230413,0.6810996152230413,0.0,0.6810996152230413,0.0,0.0
2008-12-31,0.015698231996915144,0.015698231996915144,0.0554356770971014,0.01371553875050291,0.0,0.0,0.0,0.6900460818799141,0.6900460818799141,0.0,0.6900460818799141,0.0,0.0
2009-01-31,-0.02316817890873702,-0.02316817890873702,-0.06090081147641435,0.7045015119283917,0.0,0.0,0.0,0.6768334537798741,0.6768334537798741,0.6768334537798741,0.0,0.0,0.0
2009-02-28,0.007913741257428386,0.007913741257428386,-0.05747671933025578,0.6711214747138953,0.0,0.0,0.6763765872081702,0.6763765872081702,0.6763765872081702,0.0,0.0,0.0,0.0
2009-03-31,0.015342974286235385,0.015342974286235385,0.044150762617619854,0.6837795756279899,0.0,0.0,0.0,0.6694843516259593,0.6694843516259593,0.6694843516259593,0.0,0.0,0.0
2009-04-30,-0.01809042104537575,-0.01809042104537575,0.04329354048696654,0.6853215066123411,0.0,0.0,0.6710464868124271,0.6710464868124271,0.6710464868124271,0.0,0.0,0.0,0.0
2009-05-31,-0.032179039401579804,-0.032179039401579804,0.05704479693938258,1.3434720852582436,0.0,0.0,0.0,0.0,0.677200530753598,0.677200530753598,0.677200530753598,0.0,0.0
2009-06-30,0.03477598971876826,0.03477598971876826,-0.0010359375830089057,1.3418874904614,0.0,0.0,0.6699272318766708,0.0,0.0,0.0,0.6699272318766708,0.0,0.6699272318766708
2009-07-31,0.019918451157738853,0.019918451157738853,0.04587420128584596,0.6943136101860801,0.0,0.0,0.6559304649766202,0.6559304649766202,0.0,0.0,0.0,0.0,0.6559304649766202
2009-08-31,0.00981679306162193,0.00981679306162193,0.029345260561444375,0.666352936309307,0.0,0.0,0.6570790423027677,0.6570790423027677,0.0,0.0,0.6570790423027677,0.0,0.0
2009-09-30,0.02558261923445535,0.02558261923445535,0.030475927964169314,0.0073288782373373,0.0,0.0,0.6577011454009886,0.6577011454009886,0.0,0.0,0.6577011454009886,0.0,0.0
2009-10-31,-0.0005704098595275598,-0.0005704098595275598,-0.007236555507759035,0.6746824353040369,0.0,0.0,0.6712755193206128,0.6712755193206128,0.0,0.6712755193206128,0.0,0.0,0.0
2009-11-30,0.03163280000051156,0.03163280000051156,0.035934488404395504,0.6774988986769802,0.0,0.0,0.6712593026319846,0.6712593026319846,0.6712593026319846,0.0,0.0,0.0,0.0
2009-12-31,-0.09617350364750071,-0.09617350364750071,-0.020050953989246723,1.3583373513784163,0.0,0.0,0.6712639948603669,0.0,0.0,0.6712639948603669,0.0,0.0,0.6712639948603669
2010-01-31,0.005476057219431665,0.005476057219431665,-0.01814797878509966,0.6880699042954976,0.0,0.0,0.6720405194415601,0.6720405194415601,0.0,0.6720405194415601,0.0,0.0,0.0
2010-02-28,-0.001014029241461047,-0.001014029241461047,0.007916683652136047,0.7133138770236053,0.0,0.0,0.5949698614969012,0.5949698614969012,0.0,0.0,0.5949698614969012,0.0,0.0
2010-03-31,-0.00651732498283094,-0.00651732498283094,0.018826384703533483,0.5950056765705278,0.0,0.0,0.0,0.5991269722938425,0.0,0.5991269722938425,0.5991269722938425,0.0,0.0
2010-04-30,0.022233219949518407,0.022233219949518407,-0.0016121623446596622,0.010157570659642512,0.0,0.0,0.0,0.6037262444059939,0.0,0.6037262444059939,0.6037262444059939,0.0,0.0
2010-05-31,-0.06615558191702615,-0.06615558191702615,-0.05016807296540693,1.218180087276401,0.0,0.0,0.6029482213853022,0.0,0.6029482213853022,0.0,0.6029482213853022,0.0,0.0
2010-06-30,0.024729074292350734,0.024729074292350734,-0.00566764773747408,1.2209939729373573,0.0,0.0,0.0,0.6001805655811416,0.6001805655811416,0.6001805655811416,0.0,0.0,0.0
2010-07-31,0.00643348048159365,0.00643348048159365,0.05602284401903579,0.6279168158131783,0.0,0.0,0.0,0.5694371394094192,0.0,0.5694371394094192,0.5694371394094192,0.0,0.0
2010-08-31,0.031947354858520245,0.031947354858520245,-0.005622721748295145,0.0064770283729672085,0.0,0.0,0.0,0.5672636139879723,0.0,0.5672636139879723,0.5672636139879723,0.0,0.0
2010-09-30,0.015797939571079896,0.015797939571079896,0.05401498499005508,0.5822293659718913,0.0,0.0,0.0,0.574454346136939,0.0,0.574454346136939,0.0,0.0,0.574454346136939
2010-10-31,-0.003852889470631702,-0.003852889470631702,0.024511799107974186,0.5844698073208956,0.0,0.0,0.0,0.5702213633401056,0.0,0.5702213633401056,0.5702213633401056,0.0,0.0
2010-11-30,-0.06419808313992628,-0.06419808313992628,-0.035641180625231916,1.1453669474008425,0.0,0.0,0.5742095841725916,0.5742095841725916,0.5742095841725916,0.0,0.0,0.0,0.0
2010-12-31,0.021493969878020217,0.021493969878020217,0.04353733766643564,0.6007959562887638,0.0,0.0,0.5767722057561367,0.0,0.5767722057561367,0.5767722057561367,0.0,0.0,0.0
2011-01-31,-0.013913750362874112,-0.013913750362874112,0.010743508941234214,0.6001633963506019,0.0,0.0,0.0,0.5514837944452267,0.5514837944452267,0.5514837944452267,0.0,0.0,0.0
2011-02-28,0.014561178598343567,0.014561178598343567,0.0190644575543637,0.5561096571337413,0.0,0.0,0.5482043401369792,0.5482043401369792,0.5482043401369792,0.0,0.0,0.0,0.0
