Date,ret_net,ret_gross,ret_bm,turnover,tcost,ret_rf,w_US,w_CH,w_EU,w_JP,w_UK,w_AU,w_EM
1990-03-31,0.0,0.0,0.0,0.0,0.0,0.0066208316393145,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990-04-30,0.017203104758940352,0.017203104758940352,0.0,0.9999999999999999,0.0,0.0060171308192813,-0.3333333333333333,0.44444444444444436,0.055555555555555546,-0.3333333333333333,0.44444444444444436,-0.3333333333333333,0.055555555555555546
1990-05-31,-0.004744526015514857,-0.004744526015514857,0.0,0.00944442346455579,0.0,0.0066208316393145,-0.3333333333333333,0.44444444444444436,0.055555555555555546,-0.3333333333333333,0.44444444444444436,-0.3333333333333333,0.055555555555555546
1990-06-30,0.0337624474328891,0.0337624474328891,0.0,0.6872950935794179,0.0,0.0063189359585271,-0.3333333333333333,0.3333333333333333,-0.3333333333333333,-0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
1990-07-31,0.030135345901872723,0.030135345901872723,0.0,0.017289329935790104,0.0,0.0063189359585271,-0.3333333333333333,0.3333333333333333,-0.3333333333333333,-0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
1990-08-31,0.02659355492532163,0.02659355492532163,0.0,0.36234634271224037,0.0,0.0069228178888063,-0.3333333333333333,0.3333333333333333,-0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,-0.3333333333333333
1990-09-30,0.007887151247569038,0.007887151247569038,0.0,0.013296777462660836,0.0,0.005715416194423,-0.3333333333333333,0.3333333333333333,-0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,-0.3333333333333333
1990-10-31,0.0018100488306356226,0.0018100488306356226,0.0,0.00493416502447791,0.0,0.0069228178888063,-0.3333333333333333,0.3333333333333333,-0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,-0.3333333333333333
1990-11-30,-0.009437178176185425,-0.009437178176185425,0.0,0.3490639744700025,0.0,0.0063189359585271,-0.3333333333333333,0.3333333333333333,-0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,-0.3333333333333333
1990-12-31,-0.0075247620229036034,-0.0075247620229036034,0.0,0.6698254736110191,0.0,0.0060171308192813,-0.3333333333333333,0.3333333333333333,-0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.3333333333333333,0.0
1991-01-31,0.017823725226638516,0.017823725226638516,0.0,0.0037623810114517653,0.0,0.0044092523317122,-0.3333333333333333,0.3333333333333333,-0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.3333333333333333,0.0
1991-02-28,-0.027766181146527583,-0.027766181146527583,0.0,0.34913905650856725,0.0,0.005715416194423,-0.3333333333333333,0.3333333333333333,-0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,-0.3333333333333333
1991-03-31,-0.05670103774324279,-0.05670103774324279,0.0,0.3437778710535846,0.0,0.0040076091277567,-0.3333333333333333,0.3333333333333333,-0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,-0.3333333333333333
1991-04-30,0.012421238931828631,0.012421238931828631,0.0,0.6679757081527815,0.0,0.0044092523317122,-0.3333333333333333,-0.3333333333333333,-0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
1991-05-31,0.005657566543840236,0.005657566543840236,0.0,1.3395439527992474,0.0,0.0044092523317122,0.3333333333333333,-0.3333333333333333,0.3333333333333333,-0.3333333333333333,-0.3333333333333333,0.3333333333333333,0.0
1991-06-30,0.037637042569390385,0.037637042569390385,0.0,0.952061890329132,0.0,0.0040076091277567,-0.3333333333333333,-0.3333333333333333,0.055555555555555546,0.44444444444444436,-0.3333333333333333,0.44444444444444436,0.055555555555555546
1991-07-31,-0.024152696758762266,-0.024152696758762266,0.0,1.2410407435069173,0.0,0.0044092523317122,0.3333333333333333,-0.3333333333333333,0.3333333333333333,-0.3333333333333333,-0.3333333333333333,0.0,0.3333333333333333
1991-08-31,0.007597686231625747,0.007597686231625747,0.0,1.234298570601603,0.0,0.0044092523317122,-0.3333333333333333,-0.3333333333333333,0.055555555555555546,0.44444444444444436,-0.3333333333333333,0.44444444444444436,0.055555555555555546
1991-09-30,-0.011520399200363556,-0.011520399200363556,0.0,0.004176115706869793,0.0,0.0040076091277567,-0.3333333333333333,-0.3333333333333333,0.055555555555555546,0.44444444444444436,-0.3333333333333333,0.44444444444444436,0.055555555555555546
1991-10-31,0.002850935210029177,0.002850935210029177,0.0,0.6951793947284405,0.0,0.0046101341821787,-0.3333333333333333,-0.3333333333333333,-0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
1991-11-30,0.010790915910403523,0.010790915910403523,0.0,0.6706149685283084,0.0,0.0040076091277567,-0.3333333333333333,0.3333333333333333,-0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,-0.3333333333333333
1991-12-31,-0.032714641226589014,-0.032714641226589014,0.0,1.0021371452610106,0.0,0.0042084106495823,-0.3333333333333333,-0.3333333333333333,0.055555555555555546,0.44444444444444436,-0.3333333333333333,0.44444444444444436,0.055555555555555546
1992-01-31,-0.02029337000859129,-0.02029337000859129,0.0,1.024012596708865,0.0,0.0044092523317122,-0.3333333333333333,0.3333333333333333,-0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,-0.3333333333333333
1992-02-29,-0.027674451584061305,-0.027674451584061305,0.0,0.6727354774273421,0.0,0.0019017109693872,-0.3333333333333333,0.3333333333333333,-0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.3333333333333333,0.0
