Date,ret_net,ret_gross,ret_bm,turnover,tcost,ret_rf,w_CH,w_EU,w_JP,w_UK,w_AU,w_EM
1990-03-31,0.0,0.0,0.0,0.0,0.0,0.0066208316393145,0.0,0.0,0.0,0.0,0.0,0.0
1990-04-30,0.011727577234029654,0.011727577234029654,0.0,0.5,0.0,0.0060171308192813,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0
1990-05-31,0.013692122928745441,0.013692122928745441,0.0,0.005863788617014837,0.0,0.0066208316393145,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0
1990-06-30,0.03417055365223468,0.03417055365223468,0.0,0.34017939479770604,0.0,0.0063189359585271,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0
1990-07-31,0.044080682329843406,0.044080682329843406,0.0,0.017085276826117324,0.0,0.0063189359585271,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0
1990-08-31,0.02659355492532163,0.02659355492532163,0.0,0.022040341164921706,0.0,0.0069228178888063,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0
1990-09-30,0.007887151247569038,0.007887151247569038,0.0,0.013296777462660836,0.0,0.005715416194423,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0
1990-10-31,0.0018100488306356226,0.0018100488306356226,0.0,0.00493416502447791,0.0,0.0069228178888063,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0
1990-11-30,-0.009437178176185425,-0.009437178176185425,0.0,0.3490639744700025,0.0,0.0063189359585271,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0
1990-12-31,-0.00712636030160052,-0.00712636030160052,0.0,0.33649214027768587,0.0,0.0060171308192813,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0
1991-01-31,0.02471758578855317,0.02471758578855317,0.0,0.0035631801508002325,0.0,0.0044092523317122,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0
1991-02-28,-0.027766181146527583,-0.027766181146527583,0.0,0.012358792894276577,0.0,0.005715416194423,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0
1991-03-31,-0.05670103774324279,-0.05670103774324279,0.0,0.3437778710535846,0.0,0.0040076091277567,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0
1991-04-30,0.01212733738520059,0.01212733738520059,0.0,0.33464237481944825,0.0,0.0044092523317122,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
1991-05-31,-0.009090909090909111,-0.009090909090909111,0.0,0.672730335359267,0.0,0.0044092523317122,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333
1991-06-30,0.006350938151687227,0.006350938151687227,0.0,0.3378787878787879,0.0,0.0040076091277567,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0
1991-07-31,0.0016504935919655257,0.0016504935919655257,0.0,0.3365088024091769,0.0,0.0044092523317122,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333
1991-08-31,0.0059758361472195265,0.0059758361472195265,0.0,0.3341585801293161,0.0,0.0044092523317122,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0
1991-09-30,0.017064396346194055,0.017064396346194055,0.0,0.0029879180736097632,0.0,0.0040076091277567,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0
1991-10-31,5.535549457728363e-05,5.535549457728363e-05,0.0,0.3418655315064304,0.0,0.0046101341821787,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
1991-11-30,0.010790915910403523,0.010790915910403523,0.0,0.338679425052701,0.0,0.0040076091277567,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0
1991-12-31,0.005741457071677983,0.005741457071677983,0.0,0.33872879128853506,0.0,0.0042084106495823,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0
1992-01-31,-0.02029337000859129,-0.02029337000859129,0.0,0.3447805899879902,0.0,0.0044092523317122,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0
1992-02-29,-0.024453335756730327,-0.024453335756730327,0.0,0.3394021440940088,0.0,0.0019017109693872,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0
1992-03-31,-0.009088751570726267,-0.009088751570726267,0.0,0.6634054393670836,0.0,0.0044092523317122,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333
1992-04-30,-0.0007154225284239738,-0.0007154225284239738,0.0,0.004544375785363125,0.0,0.0042084106495823,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333
1992-05-31,0.0006169575180680434,0.0006169575180680434,0.0,0.33297562206912135,0.0,0.0020019011404841,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333
1992-06-30,0.011398488872834492,0.011398488872834492,0.0,0.3336418120923673,0.0,0.0022023115407312,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0
1992-07-31,0.019138548126147348,0.019138548126147348,0.0,0.6723659111030839,0.0,0.0022023115407312,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0
1992-08-31,0.04274090785153284,0.04274090785153284,0.0,0.012832460296595793,0.0,0.0021021013305981,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0
