Date,ret_net,ret_gross,ret_bm,turnover,tcost,ret_rf,w_CH,w_EU,w_AU,w_US,w_EM,w_UK,w_JP
2010-06-30,-0.00045737383086175143,-0.00045737383086175143,-0.00566764773747408,2.0014680076579667,0.0,0.0,1.0,-1.0,-1.0,1.0,1.0,0.0,-1.0
2010-07-31,-0.0033988813733668577,-0.0033988813733668577,0.05602284401903579,1.9990440077168745,0.0,0.0,1.0,1.0,-1.0,1.0,-1.0,0.0,-1.0
2010-08-31,-0.00184330899378371,-0.00184330899378371,-0.005622721748295145,2.0015962809024934,0.0,0.0,1.0,-1.0,-1.0,1.0,-1.0,0.0,1.0
2010-09-30,0.0046577451819670435,0.0046577451819670435,0.05401498499005508,2.0011200317707916,0.0,0.0,1.0,-1.0,-1.0,-1.0,1.0,0.0,1.0
2010-10-31,-0.00158134497090745,-0.00158134497090745,0.024511799107974186,2.001983456638543,0.0,0.0,1.0,1.0,-1.0,-1.0,1.0,0.0,-1.0
2010-11-30,3.761738095053868e-05,3.761738095053868e-05,-0.035641180625231916,2.0009307682535162,0.0,0.0,1.0,-1.0,-1.0,-1.0,1.0,0.0,1.0
2010-12-31,-0.0006767067258902637,-0.0006767067258902637,0.04353733766643564,2.001138699818971,0.0,0.0,1.0,-1.0,-1.0,1.0,1.0,0.0,-1.0
2011-01-31,-0.004752159577940618,-0.004752159577940618,0.010743508941234214,3.00117471033084,0.0,0.0,1.0,1.0,-1.0,-1.0,0.0,1.0,-1.0
2011-02-28,0.0009318151652687456,0.0009318151652687456,0.0190644575543637,2.000545323076196,0.0,0.0,1.0,1.0,-1.0,0.0,1.0,-1.0,-1.0
2011-03-31,-0.001962878599176987,-0.001962878599176987,-0.003051022737709519,2.0008638526807845,0.0,0.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,0.0
2011-04-30,-0.006587871856216121,-0.006587871856216121,0.03750411430851641,4.001189423928534,0.0,0.0,-1.0,1.0,1.0,0.0,1.0,-1.0,-1.0
2011-05-31,-5.094869226296428e-05,-5.094869226296428e-05,-0.010207354123056067,5.002050005549728,0.0,0.0,1.0,-1.0,-1.0,-1.0,1.0,0.0,1.0
2011-06-30,0.0011000176676336793,0.0011000176676336793,-0.0063450298526877,1.000933028868476,0.0,0.0,1.0,-1.0,-1.0,-1.0,0.0,1.0,1.0
2011-07-31,0.0035123147544238176,0.0035123147544238176,0.0034492578744269586,1.002023703892301,0.0,0.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,0.0
2011-08-31,0.0031313150422278557,0.0031313150422278557,-0.021754568971800836,2.0015632749710326,0.0,0.0,1.0,-1.0,1.0,-1.0,1.0,0.0,-1.0
2011-09-30,0.00012329934028931788,0.00012329934028931788,-0.04901482962333048,3.002734862298374,0.0,0.0,1.0,1.0,-1.0,-1.0,0.0,1.0,-1.0
2011-10-31,-0.004443784031409565,-0.004443784031409565,0.0475102549953923,3.8337833056593063,0.0,0.0,-0.9999999999999998,1.333333333333333,1.333333333333333,-0.9999999999999998,-0.9999999999999998,0.16666666666666663,0.16666666666666663
2011-11-30,0.0026705719140871498,0.0026705719140871498,-0.019006452021246845,2.83121641797496,0.0,0.0,-1.0,0.0,1.0,-1.0,1.0,1.0,-1.0
2011-12-31,0.005183235651297746,0.005183235651297746,0.004668350049285452,2.0014474246131493,0.0,0.0,1.0,-1.0,0.0,-1.0,1.0,1.0,-1.0
2012-01-31,-0.0009075952148892563,-0.0009075952148892563,0.030687669362053693,3.001325325899032,0.0,0.0,-1.0,1.0,1.0,-1.0,0.0,1.0,-1.0
2012-02-29,-0.0008547815009425364,-0.0008547815009425364,0.017398497865686924,3.0009369428140875,0.0,0.0,-1.0,-1.0,0.0,1.0,1.0,1.0,-1.0
2012-03-31,-0.0009503274574820253,-0.0009503274574820253,0.0009502302630670645,3.0006252714481985,0.0,0.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,0.0
2012-04-30,-0.002136590776324776,-0.002136590776324776,0.002632070912530926,0.0010742067357942808,0.0,0.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,0.0
2012-05-31,-0.009626325651267087,-0.009626325651267087,-0.04326212620198311,2.001520158535163,0.0,0.0,-1.0,1.0,-1.0,0.0,1.0,-1.0,1.0
2012-06-30,-0.0049354142924650235,-0.0049354142924650235,0.02343200744667273,4.004787970355159,0.0,0.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,0.0
2012-07-31,0.0018311956570230548,0.0018311956570230548,0.011216697687921773,2.0023649533443417,0.0,0.0,1.0,0.0,1.0,-1.0,-1.0,1.0,-1.0
2012-08-31,0.0020969326708754066,0.0020969326708754066,0.016022967103475283,4.001216907366118,0.0,0.0,-1.0,1.0,-1.0,1.0,0.0,1.0,-1.0
