Date,ret_net,ret_gross,ret_bm,turnover,tcost,ret_rf,w_US,w_EU,w_JP,w_UK,w_AU,w_CH,w_EM
1991-01-31,0.046921376206327504,0.046921376206327504,0.029385946060793477,0.0,0.0,0.0052,-1.979088025526049,0.0,0.5112124502833653,0.5070949023303641,0.5050046740473111,0.5026973750713366,0.0
1991-02-28,-0.032572462734680396,-0.032572462734680396,0.042958383939591505,0.13562454847952887,0.0,0.0048,-1.866924165149684,0.0,0.461916403226596,0.45637726537662876,0.47303659447002255,0.44302143934175664,0.0
1991-03-31,-0.10168988906205012,-0.10168988906205012,-0.03386055397437793,0.041397703478595366,0.0,0.0044,-1.8216250546159891,0.0,0.4311823978238108,0.41900587597604416,0.45128520263953986,0.4184616891145446,0.0
1991-04-30,0.013223379082709237,0.013223379082709237,0.010679694515175697,0.28083481010639466,0.0,0.0053,-1.4899452999785694,0.0,0.3847640942684036,0.3690441226019606,0.3772025601173137,0.3721579020736013,0.0
1991-05-31,-0.02643033965214172,-0.02643033965214172,0.009590863812780182,0.018829066715069565,0.0,0.004699999999999999,-1.478245066937192,0.0,0.3647914357595027,0.36538664895472117,0.35948232309608996,0.3621543194747368,0.0
1991-06-30,-0.02502123086024651,-0.02502123086024651,-0.03694667961050191,0.013215169826070933,0.0,0.0042,-1.4620636301798662,0.0,0.36766811778290565,0.3507398558614142,0.3703278040738554,0.3483066216014449,0.0
1991-07-31,0.03262942009726455,0.03262942009726455,0.0329370993005631,0.025466172838696094,0.0,0.0049,-1.450080728896376,0.0,0.36431519393725115,0.37875289832033404,0.36888208223078944,0.3707599745052664,0.0
1991-08-31,0.00665407479189042,0.00665407479189042,0.007367623438760518,0.06831860828470407,0.0,0.0046,-1.3980768306603042,0.0,0.35141115310386456,0.34991479971637607,0.35389327077222527,0.34951168185972914,0.0
1991-09-30,-0.05367641813168658,-0.05367641813168658,0.031909149856093943,2.7954881701042895,0.0,0.0046,1.3940843020480398,0.0,-0.359591255967659,-0.3644868919677056,-0.35529280035897726,-0.3683897718853847,0.0
1991-10-31,0.0027105432263270198,0.0027105432263270198,0.012310499417475196,0.10203130229548601,0.0,0.0042,1.318891208818397,0.0,-0.33587042548006196,-0.3288907419099789,-0.3244619951301254,-0.32695750307190397,0.0
1991-11-30,-0.017411111996728505,-0.017411111996728505,-0.013834300167913538,0.00787244119461411,0.0,0.0039000000000000003,1.3174130235944455,0.0,-0.3310125470199984,-0.3361022980276814,-0.3309133724609273,-0.33679591808256737,0.0
1991-12-31,-0.045485517050577476,-0.045485517050577476,0.06075016072416051,0.010882222735456082,0.0,0.0038,1.3152363568573537,0.0,-0.34293274022395254,-0.3496382352501643,-0.3203489680162295,-0.3478019304175851,0.0
1992-01-31,0.031837634729635925,0.031837634729635925,-0.01898676672875954,0.06596695064857827,0.0,0.0034000000000000002,1.272012164734064,0.0,-0.31667971075945883,-0.3055254665896633,-0.3141127119504108,-0.3038566407048957,0.0
1992-02-29,-0.023223390822782995,-0.023223390822782995,-0.011961084399641386,1.886408538145149,0.0,0.0028000000000000004,-0.11888424223154372,0.0,1.0411802406279218,0.176260613426068,-0.7201983718461634,-0.40158163079906517,0.0
1992-03-31,-0.03580625645951482,-0.03580625645951482,-0.02855060606897486,0.6887055408212113,0.0,0.0034000000000000002,0.5814329940010591,0.0,0.8226610820197257,-0.2098829231623616,-0.7583961194433237,-0.47162128987461377,0.0
1992-04-30,0.006518861962980316,0.006518861962980316,0.00930388368812185,0.030051989697151338,0.0,0.0032,0.5869372168883127,0.0,0.8518945346401682,-0.21957319059514982,-0.7352524067986994,-0.4774872921716511,0.0
1992-05-31,0.03321780687915757,0.03321780687915757,0.03393818573063201,0.7027519027419419,0.0,0.0028000000000000004,-0.1190741168351192,0.0,1.119066100578983,0.18500113068642238,-0.7157670470993125,-0.43600826045181584,0.0
1992-06-30,0.0180775575120241,0.0180775575120241,-0.0012340826748786782,0.3972946078604721,0.0,0.0032,-0.20570430367538742,0.0,0.8356356935649452,0.5919111396679316,-0.7112082165149037,-0.4925567555305612,0.0
1992-07-31,-0.007195862780103372,-0.007195862780103372,0.013142747993513337,0.29581410653302864,0.0,0.0031,-0.4630082124454756,0.0,0.81506767354826,0.5756951521565319,-0.7189017295835491,-0.21604874645587038,0.0
1992-08-31,0.08950876665472107,0.08950876665472107,0.025437946273296763,0.43149409837178787,0.0,0.0026,-0.6023690290914149,0.0,0.7928077125839362,0.5113369339137182,-0.8437056782043543,0.23143882745283575,0.0
1992-09-30,-0.021915633832678808,-0.021915633832678808,0.0007429715286730865,0.23471688690688275,0.0,0.0026,-0.5117494163288414,0.0,0.6680996843860035,0.3764098955378855,-0.7435287674575596,0.18885297002983306,0.0
1992-10-31,-0.06848822351685521,-0.06848822351685521,-0.027996426836520705,0.031426543284831146,0.0,0.0023,-0.511253383243819,0.0,0.6334153451904685,0.3688569537208958,-0.7273537048458992,0.1678465656614984,0.0
1992-11-30,-0.010777992578464944,-0.010777992578464944,-0.00216180704965252,0.5737774320790638,0.0,0.0023,-0.38402182484941555,0.0,0.6760113738333424,-0.1668490983751955,-0.5870067219667661,0.45108827877956986,0.0
1992-12-31,-0.01572666091861563,-0.01572666091861563,0.006032286474677573,0.5491994666482494,0.0,0.0028000000000000004,0.17056663808806619,0.0,0.596325650311081,-0.4686859124085905,-0.6897694836464613,0.3758364467372888,0.0
