Date,ret_net,ret_gross,ret_bm,turnover,tcost,ret_rf,w_EU,w_JP,w_AU,w_US,w_CH,w_EM,w_UK
1999-03-31,-0.008122830701355641,-0.008122830701355641,0.0,0.0,0.0,0.0046101341821787,-0.586365887376857,-0.586365887376857,-0.586365887376857,0.7818211831691426,0.7818211831691426,0.09772764789614283,0.09772764789614283
1999-04-30,0.029696441433401524,0.029696441433401524,0.0,1.3827305249750235,0.0,0.0042084106495823,-0.586365887376857,0.7818211831691426,-0.586365887376857,-0.586365887376857,0.7818211831691426,0.09772764789614283,0.09772764789614283
1999-05-31,0.025883623510197802,0.025883623510197802,0.0,0.5474264437197791,0.0,0.0040076091277567,-0.5863658873768572,1.0554585972783428,-0.5863658873768572,-0.5863658873768572,0.23454635495074286,0.23454635495074286,0.23454635495074286
1999-06-30,0.010155490102045552,0.010155490102045552,0.0,1.5280641629329865,0.0,0.0044092523317122,-0.5863658873768571,0.5863658873768571,-0.5863658873768571,0.5863658873768571,0.5863658873768571,0.0,-0.5863658873768571
1999-07-31,0.0040431284850289935,0.0040431284850289935,0.0,1.1926266308883133,0.0,0.0042084106495823,-0.586365887376857,0.7818211831691426,-0.586365887376857,-0.586365887376857,0.7818211831691426,0.09772764789614283,0.09772764789614283
1999-08-31,0.00253300991970006,0.00253300991970006,0.0,0.013861480099733467,0.0,0.0044092523317122,-0.586365887376857,0.7818211831691426,-0.586365887376857,-0.586365887376857,0.7818211831691426,0.09772764789614283,0.09772764789614283
1999-09-30,0.0007199377204090461,0.0007199377204090461,0.0,0.5501626693026405,0.0,0.0042084106495823,-0.5863658873768572,1.0554585972783428,-0.5863658873768572,-0.5863658873768572,0.23454635495074286,0.23454635495074286,0.23454635495074286
1999-10-31,0.03210311159581481,0.03210311159581481,0.0,1.6515676224452411,0.0,0.0042084106495823,-0.5863658873768572,-0.5863658873768572,-0.5863658873768572,0.23454635495074289,0.23454635495074289,0.23454635495074289,1.055458597278343
1999-11-30,0.03230789993879973,0.03230789993879973,0.0,2.736869458471629,0.0,0.0042084106495823,-0.586365887376857,0.7818211831691426,0.7818211831691426,-0.586365887376857,-0.586365887376857,0.09772764789614283,0.09772764789614283
1999-12-31,-0.011679079411026177,-0.011679079411026177,0.0,2.7519235759442386,0.0,0.0044092523317122,-0.5863658873768572,-0.5863658873768572,-0.5863658873768572,0.7818211831691428,0.09772764789614286,0.09772764789614286,0.7818211831691428
2000-01-31,0.03860636939572378,0.03860636939572378,0.0,2.8376448281276234,0.0,0.0040076091277567,-0.5863658873768571,0.5863658873768571,0.5863658873768571,-0.5863658873768571,0.5863658873768571,0.0,-0.5863658873768571
2000-02-29,-0.02235933745741627,-0.02235933745741627,-0.001212828824101564,1.530685014802022,0.0,0.0040076091277567,-0.5863658873768572,1.0554585972783428,-0.5863658873768572,-0.5863658873768572,0.23454635495074286,0.23454635495074286,0.23454635495074286
2000-03-31,-0.019559360016423204,-0.019559360016423204,0.05442926311149998,0.01153707694760292,0.0,0.0046101341821787,-0.5863658873768572,1.0554585972783428,-0.5863658873768572,-0.5863658873768572,0.23454635495074286,0.23454635495074286,0.23454635495074286
2000-04-30,0.03866259230825701,0.03866259230825701,-0.038301109449248694,1.3846828064188086,0.0,0.0038068477582051,-0.586365887376857,0.7818211831691426,0.7818211831691426,-0.586365887376857,-0.586365887376857,0.09772764789614283,0.09772764789614283
2000-05-31,-0.011268750907541775,-0.011268750907541775,-0.011619824387154143,1.384653164372399,0.0,0.0044092523317122,-0.586365887376857,0.7818211831691426,-0.586365887376857,0.7818211831691426,-0.586365887376857,0.09772764789614283,0.09772764789614283
2000-06-30,-0.017565227916021664,-0.017565227916021664,0.030136117069895274,1.3738214459997706,0.0,0.0044092523317122,-0.5863658873768572,1.0554585972783428,-0.5863658873768572,-0.5863658873768572,0.23454635495074286,0.23454635495074286,0.23454635495074286
2000-07-31,0.029119194442605377,0.029119194442605377,-0.023792266927673333,2.359655117539206,0.0,0.0040076091277567,-0.5863658873768571,0.5863658873768571,0.5863658873768571,0.5863658873768571,-0.5863658873768571,0.0,-0.5863658873768571
2000-08-31,0.07267106309662634,0.07267106309662634,0.01687493416937813,1.1864906649951017,0.0,0.0046101341821787,-0.586365887376857,-0.586365887376857,0.7818211831691426,0.7818211831691426,0.09772764789614283,0.09772764789614283,-0.586365887376857
2000-09-30,-0.013641053871167217,-0.013641053871167217,-0.03315693836523392,1.39657208083617,0.0,0.0060171308192813,-0.586365887376857,0.7818211831691426,-0.586365887376857,0.7818211831691426,0.09772764789614283,0.09772764789614283,-0.586365887376857
2000-10-31,0.03308108362279395,0.03308108362279395,-0.015321869419774314,1.383089203345615,0.0,0.0066208316393145,-0.5863658873768572,-0.5863658873768572,0.09772764789614286,0.7818211831691428,0.7818211831691428,0.09772764789614286,-0.5863658873768572
2000-11-30,-0.009080884388247452,-0.009080884388247452,-0.02818826191734969,1.6819727762394232,0.0,0.0042084106495823,-0.5863658873768571,0.5863658873768571,0.5863658873768571,0.5863658873768571,-0.5863658873768571,0.0,-0.5863658873768571
2000-12-31,-0.07820208109551623,-0.07820208109551623,0.02434948321520647,0.029244199003937432,0.0,0.0060171308192813,-0.5863658873768571,0.5863658873768571,0.5863658873768571,0.5863658873768571,-0.5863658873768571,0.0,-0.5863658873768571
2001-01-31,0.02528420451384548,0.02528420451384548,0.010555943009654012,0.050306427453792324,0.0,0.0063189359585271,-0.5863658873768571,0.5863658873768571,0.5863658873768571,0.5863658873768571,-0.5863658873768571,0.0,-0.5863658873768571
