Date,ret_net,ret_gross,ret_bm,turnover,tcost,ret_rf,w_US,w_UK,w_EU,w_JP,w_CH,w_AU,w_EM
2004-11-30,-0.0015751511220670985,-0.0015751511220670985,0.05302557940569641,20.227021189574273,0.0,0.0015,17.44793076532116,0.0,-18.901924995764592,2.9079884608868594,10.17889480081731,-11.63446418238281,0.0
2004-12-31,0.03794138502203207,0.03794138502203207,0.03848580293450343,7.284514818965236,0.0,0.0016,17.424933901857482,0.0,-11.613691392978447,2.9038635061274234,10.177930236083272,-18.855094866067702,0.0
2005-01-31,0.023618988816053937,0.023618988816053937,-0.022300451066896376,19.186878696595805,0.0,0.0016,21.065144690388276,0.0,-1.5054127184428,6.018612768682364,-9.029759932558871,-16.524965819252923,0.0
2005-02-28,0.043998688354419765,0.043998688354419765,0.032206314852564866,20.086179325235243,0.0,0.0016,17.811156743199867,0.0,-9.591126899166598,-2.7401779604922862,10.96506895618855,-16.40092215137511,0.0
2005-03-31,0.012003215469125712,0.012003215469125712,-0.01889191673221524,14.19401696455143,0.0,0.0021,17.07337873246415,0.0,-2.62667365114833,-15.763197140268696,10.51311764020598,-9.184622365783977,0.0
2005-04-30,0.021902405452383436,0.021902405452383436,-0.021076162438751322,20.017540692093718,0.0,0.0021,18.05313235067251,0.0,-6.57050232033557,-22.97786945959168,1.6416784857963895,9.875463348910747,0.0
2005-05-31,-0.006367768967932256,-0.006367768967932256,0.01859648726212315,34.19076886864499,0.0,0.0024,22.753951544333034,0.0,-9.752205547937297,6.5008020704130285,-1.6252822531666469,-17.883633582610063,0.0
2005-06-30,-0.009412688893135183,-0.009412688893135183,0.009131850633003147,23.65128686795844,0.0,0.0023,23.350393856385608,0.0,-23.355052607036882,11.675196928192804,-11.679950866434666,0.0,0.0
2005-07-31,0.021253224594690985,0.021253224594690985,0.0352166377963834,0.6783705008857464,0.0,0.0024,23.805778419940484,0.0,-23.788783218548822,11.902302555241745,-11.898044532038716,0.0,0.0
2005-08-31,0.004160361052976692,0.004160361052976692,0.008109666139810345,0.14175566661905314,0.0,0.003,23.703799130843887,0.0,-23.70130876510973,11.852483735828422,-11.850813740509603,0.0,0.0
2005-09-30,0.027110004248351974,0.027110004248351974,0.026295678599188133,11.899606671907833,0.0,0.0029,23.735330411696033,0.0,-23.72460646759795,11.867665205848017,0.0,-11.851279145697747,0.0
2005-10-31,0.05156419707991868,0.05156419707991868,-0.024075703741404775,23.882254581431297,0.0,0.0027,23.41437206797715,0.0,-23.37474467882196,0.0,-11.696457198538365,11.70839400646309,0.0
2005-11-30,0.004815142561673145,0.004815142561673145,0.033961616946174056,35.09698397590029,0.0,0.0031,22.512686290867364,0.0,-11.240223371743816,-22.51492775140851,11.247279974846634,0.0,0.0
2005-12-31,0.01136602675276675,0.01136602675276675,0.0224252729944332,11.254697600518872,0.0,0.0032,22.511162238135313,0.0,0.0,-22.511162238135313,11.266947145820422,-11.255581119067656,0.0
2006-01-31,-0.0026768660708988323,-0.0026768660708988323,0.04483748566216139,12.459020831247173,0.0,0.0034999999999999996,23.720284963691213,0.0,0.0,-11.862515867584673,11.864976598430319,-23.725422560607758,0.0
