Date,ret_net,ret_gross,ret_bm,turnover,tcost,ret_rf,w_US,w_EU,w_JP,w_UK,w_AU,w_CH,w_EM
2006-11-30,0.015304097831673209,0.015304097831673209,0.025043929226053807,1.1854894756732937,0.0,0.0042,-0.5710782050094396,0.3878674236393578,-0.3770453294050147,0.5730784714342751,0.19470219778569212,-0.19222046061319756,0.0
2006-12-31,0.013108591128883698,0.013108591128883698,0.020609772745839194,0.19796014283948749,0.0,0.004,-0.567510900485121,0.577989164238869,-0.3812301809200316,0.3810290361991794,0.1932310291108469,-0.19039955701485897,0.0
2007-01-31,-0.016503671680364165,-0.016503671680364165,0.012002475847035843,0.018413509247694665,0.0,0.0044,-0.5693619565358449,0.5607628541797751,-0.37942153184312283,0.3750394750785959,0.18758440308239793,-0.19110691564216542,0.0
2007-02-28,-0.006475813480447472,-0.006475813480447472,-0.004733413109958895,0.3771775612592324,0.0,0.0038,-0.3650302631178632,0.37115684213940275,-0.5798319813013058,0.5579304912653086,0.19255771592181822,-0.18325861838780813,0.0
2007-03-31,0.03244131236184448,0.03244131236184448,0.01883460937027248,0.39248080386106865,0.0,0.0043,-0.5651182421069444,0.5788769722592952,-0.37170216625994323,0.3845842504940019,0.1983744238089686,-0.1925739258335337,0.0
2007-04-30,0.032864461236132576,0.032864461236132576,0.044737551188138935,0.39531755293405446,0.0,0.0044,-0.5739999586356128,0.1986306658308605,-0.3578086082460909,0.38238904842289617,0.5797788048228995,-0.19612549095881984,0.0
2007-05-31,0.0026830559872812864,0.0026830559872812864,0.029036232002326745,0.4000092489453836,0.0,0.0040999999999999995,-0.3870714481664779,0.38432406225389915,-0.5731757651782591,0.1899276713232941,0.5743587511218144,-0.1856802153669894,0.0
2007-06-30,0.027485870258878352,0.027485870258878352,-0.0072830389662880135,0.20893869283708827,0.0,0.004,-0.18423232171007292,0.3767693616835093,-0.5627669124897785,0.1904674693500851,0.5750445679864665,-0.36779629456133106,0.0
2007-07-31,-0.005195447727547618,-0.005195447727547618,-0.021967697461999003,0.19931879221784243,0.0,0.004,-0.18013190109603444,0.18103925970164328,-0.5568026247221894,0.36260607453520144,0.5520196803707508,-0.3639259365169192,0.0
2007-08-31,-0.010238462131690263,-0.010238462131690263,-0.0002279066250172601,0.3829082214591131,0.0,0.0042,-0.381126197672935,0.37297062170177564,-0.5496869596950961,0.1857353536188608,0.5499602526366982,-0.18809153272099388,0.0
