Date,ret_net,ret_gross,ret_bm,turnover,tcost,ret_rf,w_AU,w_CH,w_EM,w_EU,w_JP,w_UK,w_US
2012-04-30,-0.01648698655088262,-0.01648698655088262,-0.010814283325261131,0.10744318864223758,0.0,0.0,0.0,0.09877526009719219,-0.09686111829925065,0.2797210659672944,-0.19272806904733833,-0.3044132198808107,0.1990190946120305
2012-05-31,-0.009063469821685353,-0.009063469821685353,-0.08529178665397297,0.12221950690656083,0.0,0.0001,0.0,0.09063056492210607,-0.0980281687510042,0.2635984526649517,-0.2775320055228723,-0.17731527423515964,0.18958296110029307
2012-06-30,0.02063877341792833,0.02063877341792833,0.051469591691896355,0.061478945384542176,0.0,0.0,0.0,0.10807581341050776,-0.09574281217558599,0.33609874358165875,-0.321735305099836,-0.21773983568005648,0.21168216938124024
2012-07-31,0.012334735138956932,0.012334735138956932,0.013132389373181175,0.2650335293289642,0.0,0.0,0.12516132593933224,0.0,-0.24151327780737117,0.35233341113451955,-0.34204239108835915,-0.11861018129800802,0.23700584825884352
2012-08-31,0.03460586364926655,0.03460586364926655,0.0259882933652551,0.3482097586578376,0.0,0.0001,0.0,0.11902863132915001,-0.3414234204858001,0.3736811159158011,-0.11505822184230868,-0.23985100884856858,0.23822876758099282
2012-09-30,0.01879014968108271,0.01879014968108271,0.02797679416740184,0.24077101302807705,0.0,0.0001,0.0,0.23592894999019026,-0.22065764367049473,0.3545124591023166,-0.11717384532194898,-0.3507179645125357,0.11689819409355523
2012-10-31,-0.031010152504935135,-0.031010152504935135,-0.006462394477743549,0.02433833644290915,0.0,0.0001,0.0,0.23149920419804024,-0.26885368509526353,0.34902133581549977,-0.1114021045497034,-0.34234086137302727,0.11106595849951911
2012-11-30,-0.010515360859522874,-0.010515360859522874,0.013671400231141106,0.37158687369764576,0.0,0.0001,0.0,-0.11648952169737135,-0.24086356755764693,0.34759724340443027,0.11445015532911944,-0.34088487570165243,0.2256752053635981
2012-12-31,0.02661263120081198,0.02661263120081198,0.019349727620516344,0.12519861905824442,0.0,0.0001,0.0,-0.1188092230714492,-0.22720838300072266,0.3632641506506492,0.2480525260663374,-0.356764008849219,0.11807756940521623
2013-01-31,-0.006894254335761308,-0.006894254335761308,0.051249936803956286,0.36355763955040005,0.0,0.0,-0.12201185039210745,-0.2532674885722769,0.0,0.36951394036217633,0.11861126222663249,-0.36295794769984235,0.24321782973965658
2013-02-28,0.016254458445765185,0.016254458445765185,0.0022423719505926254,0.6161788972697135,0.0,0.0,0.0,-0.11587336020883454,-0.3409336424347704,0.10822249769352954,0.35517184004313934,-0.22464507134780232,0.2343121947005036
2013-03-31,0.03153867776726496,0.03153867776726496,0.024104585258702294,0.5797024551633471,0.0,0.0,0.0,-0.23424394739777815,0.24271115538001867,-0.11224775422866447,0.365106314427189,-0.3493585122673307,0.11957142185383061
2013-04-30,0.07964571539780571,0.07964571539780571,0.032085630617879835,0.5920481309235753,0.0,0.0,0.12317124041470946,-0.124122895709885,-0.3044033911112402,0.0,0.3872522358800929,-0.2445525264958646,0.24230105241999317
2013-05-31,-0.03463343951647861,-0.03463343951647861,0.0013263058609005451,0.7807534820488967,0.0,0.0,0.19240545079433474,0.3207928507871958,-0.10761816297749,-0.22313875427573732,0.0,-0.32848205302417643,0.11140722917939457
2013-06-30,0.0160703455588493,0.0160703455588493,-0.02421388146936021,0.31764275160702354,0.0,0.0,0.1034255306380288,0.21770509679151567,-0.1176217213847714,-0.210254153736297,0.33939252943319387,-0.3165769361828206,0.0
2013-07-31,-0.031238750937070656,-0.031238750937070656,0.05309084726735125,0.3487393168634733,0.0,0.0,0.0,0.11613072651208957,0.23127000387016225,-0.24158072868328126,0.33641728748279726,-0.35626796841636726,-0.1172080717024712
2013-08-31,0.011531514545707292,0.011531514545707292,-0.020754631929659206,0.885597238049979,0.0,0.0,0.22292842828683457,-0.10871904481513313,0.3303978898801236,-0.32426987564288773,-0.21542207022361254,0.0,0.10661618706038252
2013-09-30,-0.031152362175655077,-0.031152362175655077,0.05056020918098314,0.027545088986212468,0.0,0.0,0.2430409872577257,-0.1207532142857811,0.34799923402335087,-0.37054264835964057,-0.2479703853365866,0.0,0.11707366452527664
2013-10-31,-0.03307391196757706,-0.03307391196757706,0.039451676616607756,0.03290303710806099,0.0,0.0,0.24199313056067645,-0.11839366038416167,0.322355094261369,-0.3688324022792063,-0.2306050252992206,0.0,0.12040895117296603
2013-11-30,-0.02488524741964507,-0.02488524741964507,0.01832016986560303,0.47505584367440135,0.0,0.0,0.10702074552523905,0.0,0.21205996339844066,-0.3419146578299014,-0.22847590863545666,0.34296769628744045,-0.11654308616540718
2013-12-31,-0.004037357075509819,-0.004037357075509819,0.021571458322364068,0.12627051984277135,0.0,0.0,0.0,0.11328483064946587,0.2214141555878956,-0.34434275497500694,-0.22517254936689934,0.3455431658617563,-0.11476420483272134
2014-01-31,0.011614156694818077,0.011614156694818077,-0.03671169826396692,0.11963065936784151,0.0,0.0,0.0,0.21970058297026418,0.1131072242791595,-0.32025451316010783,-0.2154223223491875,0.3228837852021886,-0.10840060024749879
2014-02-28,0.007934015883807693,0.007934015883807693,0.05067748013840356,0.24252725049573043,0.0,0.0,0.12004098672803284,0.0,0.22814480925479744,-0.3578040535019005,-0.22384901232589885,0.35863188620503145,-0.11723060047625468
2014-03-31,-0.0061811755632223105,-0.0061811755632223105,0.002204508967721175,0.4707334846124189,0.0,0.0,0.23248708453136674,0.0,-0.22497479694454292,-0.33853477804667415,0.11108671698464521,0.32672040029478566,-0.11296580238280286
2014-04-30,0.012142660302353888,0.012142660302353888,0.010789269863882511,0.5725104581928004,0.0,0.0,0.0,0.11468469665957663,0.22713614931215018,-0.34593468677069167,-0.10942092219345176,0.3530944283588047,-0.22741700506403423
2014-05-31,0.0014958239630642163,0.0014958239630642163,0.020720344334937302,0.4649496083986218,0.0,0.0,0.1175258203233755,-0.11791359704963686,0.0,-0.35417145106375597,0.2431029608903172,0.35131995825019396,-0.2383678673874296
2014-06-30,0.006852582097900415,0.006852582097900415,0.018288139895402455,0.12609147823843997,0.0,0.0,0.0,-0.116459366747096,0.11237637296089097,-0.3519874829533015,0.24711585249906518,0.35463286715719444,-0.23882566081885262
2014-07-31,0.029812764332688157,0.029812764332688157,-0.015615716084129705,0.24240967481221715,0.0,0.0,0.12035080662475643,-0.2253387055277249,0.0,-0.33196441366814083,0.23648449266161223,0.345890375162305,-0.11560979092011975
2014-08-31,-0.016963565244087247,-0.016963565244087247,0.022555589966118283,0.23613222272596507,0.0,0.0,0.11766625526959551,-0.11813435658269815,0.0,-0.3473560717436857,0.34020460800998636,0.23229350798496565,-0.24163750818225088
2014-09-30,-0.051315351817331024,-0.051315351817331024,-0.02661915559213912,0.24486892288635598,0.0,0.0,0.10259366382661356,0.0,-0.26439782909764437,-0.3436735022288463,0.34685526606630623,0.2221729050079381,-0.11486585539169827
2014-10-31,-0.07956702088876073,-0.07956702088876073,0.006777703785632694,0.03274552970704636,0.0,0.0,0.12235014157007934,0.0,-0.31970058267890406,-0.3333940496877622,0.34420038679265696,0.22610823823782752,-0.11913115512265827
2014-11-30,0.014236724159331082,0.014236724159331082,0.02068095579833762,0.07600405959349488,0.0,0.0,0.10931410716845791,0.0,-0.3178653484036377,-0.24247001293540965,0.3491607166906223,0.2360614834425672,-0.11996422180326897
2014-12-31,-0.004825046308578523,-0.004825046308578523,-0.01564344976201837,0.14496413771096256,0.0,0.0,0.11416941702627821,-0.11159485000009203,-0.3630220691683741,-0.22007760591875247,0.347885441434236,0.2278146203181259,0.0
2015-01-31,-0.018574056683425197,-0.018574056683425197,-0.017815065535336294,0.1401636530313537,0.0,0.0,0.1148736574221339,-0.1182794003369661,-0.256675150350033,-0.35108524128357094,0.3599657034632464,0.2326263744017646,0.0
2015-02-28,0.0035433401632456833,0.0035433401632456833,0.05915638243749055,0.6018791062067236,0.0,0.0,0.2506981955675007,-0.12121413124157022,0.0,-0.2483204913827961,0.3705350115969176,-0.37165275792740615,0.12349751355059983
2015-03-31,0.014207882100016864,0.014207882100016864,-0.014848645215165712,0.27008263674105215,0.0,0.0,0.22765366132954037,-0.23526047504194095,0.11198828872818611,-0.1160142935567933,0.3571855200002088,-0.3313448193591842,0.0
2015-04-30,-0.023526975681816747,-0.023526975681816747,0.023956317492407342,0.13555684851478428,0.0,0.0,0.2368888710988735,-0.2427410771269203,0.1115227776899819,0.0,0.3615822883394699,-0.37292518207954234,-0.11785465360367946
2015-05-31,-0.028224814614093388,-0.028224814614093388,0.004374360224432383,0.8431885793028673,0.0,0.0,0.11328982887563319,0.0,0.20432313673262673,-0.11378209622024198,-0.23624645402835268,-0.3497781822703324,0.35396895229657377
2015-06-30,-0.008214799052820427,-0.008214799052820427,-0.0228228248889496,0.2281325239674974,0.0,0.0,0.2190745329930841,0.11038346709064342,0.0,-0.11312304616637647,-0.22863829758810406,-0.33450747351293697,0.33859601813086954
2015-07-31,-0.0006417149946259275,-0.0006417149946259275,0.018305250697551623,0.02689209397011723,0.0,0.0,0.23148130458090466,0.12076130880638201,0.0,-0.12036122718000503,-0.23367454668896434,-0.35586092978726225,0.357012375274319
2015-08-31,0.036856547092182425,0.036856547092182425,-0.06568021561976112,0.2419656557853416,0.0,0.0,0.10411252468597781,0.0,0.25464529718715795,-0.10821367837765968,-0.22097458843899453,-0.322003738782131,0.3292907308178319
2015-09-30,0.023874404532368908,0.023874404532368908,-0.036296212531534144,0.12622195436923783,0.0,0.0,0.11170833845775786,0.0,0.34992224792016496,-0.11051083135688636,-0.2187232957373488,-0.3358317744655206,0.22730971971420186
2015-10-31,-0.004508638300042545,-0.004508638300042545,0.0795682585772115,0.02146822735672025,0.0,0.0,0.12371398936934698,0.0,0.3733399480907494,-0.12603434126948423,-0.2543761145047018,-0.3736048138298726,0.2524526938439198
2015-11-30,-0.022594978908385403,-0.022594978908385403,-0.004379764163474187,0.14557137018985897,0.0,0.0,0.11827435058756691,0.0,0.20148175686031264,-0.1163982122394787,-0.23461824293701966,-0.346095005794884,0.35476037461511745
2015-12-31,0.013724957686521322,0.013724957686521322,-0.017156340725706043,0.13908511496195056,0.0,0.0001,0.12101663241715063,0.0,0.34935211535362204,-0.11377921387458496,-0.23435959817216193,-0.33908481346089697,0.23057983542339255
2016-01-31,0.06695967535115559,0.06695967535115559,-0.059538973858199284,0.13764780772587024,0.0,0.0001,0.0,0.10753340288093048,0.395543394471415,-0.10860450395447206,-0.2196764233005274,-0.33246313123009774,0.22462693648390733
2016-02-29,0.009496299340668033,0.009496299340668033,-0.00676253110413727,0.2547594232691774,0.0,0.0002,-0.10894646173114295,0.0,0.3278717151366193,0.10679677664807327,-0.2106955346506637,-0.325261298577873,0.21973110251565517
2016-03-31,-0.013045631262099686,-0.013045631262099686,0.06864433640322143,0.33599628830080647,0.0,0.0002,-0.1232433695890756,0.34430590291385044,0.11291296916866794,0.0,-0.23391456616688536,-0.34852984067883297,0.23542327309017583
2016-04-30,-0.01080022457258642,-0.01080022457258642,0.01641146814688077,0.138688565803456,0.0,0.0001,-0.11451098244704432,0.34565204827080104,0.22111859983644777,0.0,-0.22875310950904754,-0.34660669881781886,0.11229991809407548
2016-05-31,0.019956398995653022,0.019956398995653022,0.006600259303734202,0.6446702899498344,0.0,0.0001,-0.12313916657010562,0.0,0.38564099551672787,-0.25121284998149407,0.2556349280544977,-0.3749561431012017,0.12798863507722882
2016-06-30,0.04244892043138375,0.04244892043138375,-0.010704717911692807,0.009978199497826523,0.0,0.0002,-0.12724515683617635,0.0,0.39618661769796387,-0.23756428797948467,0.2475095546276863,-0.36396483682198055,0.12752702974337513
2016-07-31,-0.015497043874363745,-0.015497043874363745,0.04254361725526312,0.2590384633707096,0.0,0.0002,-0.26914404407385234,0.0,0.24107414621187268,-0.1304154951962731,0.3996579471550843,-0.3851719372939246,0.12850233932272936
2016-08-31,-0.0030711553569644327,-0.0030711553569644327,0.0014128280647713876,0.39696259932874767,0.0,0.0002,0.0,-0.24975816724958927,0.12927585604454728,-0.1277519110284458,0.37444271159488923,-0.3809426487777605,0.2516630040593946
2016-09-30,-0.01032235509942107,-0.01032235509942107,0.005790199333901125,0.3834058223613963,0.0,0.0002,0.0,-0.1270175317913869,-0.2689757137615044,0.1263007751054372,0.38721561766093393,-0.3802156280443466,0.25237012573144574
2016-10-31,0.037575912564401626,0.037575912564401626,-0.019046579664470986,0.27051927574029894,0.0,0.0002,-0.12456949484793207,-0.2433067160075379,0.0,0.1278983783331169,0.39256973215481766,-0.367116984525866,0.25210099745780307
2016-11-30,0.0394388055587884,0.0394388055587884,0.0150758408630991,1.1450125113018117,0.0,0.0001,-0.38382103386837985,0.0,0.4014673671025717,-0.24730638497920177,-0.12440165759535321,0.12802499293074632,0.26547552196840524
2016-12-31,-0.023873125075097066,-0.023873125075097066,0.02430890857393364,0.6486615756596084,0.0,0.0003,-0.3871321097011832,-0.2659107145008965,0.2523974207123735,-0.1358391766327665,0.38358056802059354,0.0,0.12903088702678214
2017-01-31,-0.0060461516381317346,-0.0060461516381317346,0.024399205081860664,1.0275240772830876,0.0,0.0004,-0.3889314046332559,0.0,-0.24956097442750672,0.37927117770710717,-0.12924010197423844,0.2549828244311649,0.1274323272585973
2017-02-28,-0.007006267553223877,-0.007006267553223877,0.028305195232747327,0.5099760251757104,0.0,0.0004,-0.3907184818436918,0.382014011302083,-0.12465325381513805,0.1268805599254477,-0.25620249872177536,0.2556733955998506,0.0
2017-03-31,0.00013125390564155221,0.00013125390564155221,0.011473333778207806,0.3910125634428876,0.0,0.0003,-0.25788547293857045,0.38890884548077553,-0.4004176311310494,0.2668999822658104,-0.12559953165098564,0.1282250618796611,0.0
2017-04-30,0.00871279591496786,0.00871279591496786,0.015329756057862465,0.1532274548361495,0.0,0.0005,-0.24855436242369192,0.3885508458153711,-0.3909270654352584,0.13109923198312057,-0.1269670268182007,0.25551117279362723,0.0
2017-05-31,0.01141223358888664,0.01141223358888664,0.022151706942694194,0.388326653022807,0.0,0.0006,0.0,0.26641248340662305,-0.3927035218744251,0.13140486153659456,-0.2600536826185666,0.3938258536228425,-0.12747376048418177
2017-06-30,-0.020012124786282164,-0.020012124786282164,0.0042543191443555894,0.15603985318681063,0.0,0.0006,0.0,0.2503097547906251,-0.3840590599523527,0.12347265150918078,-0.12715765957647437,0.3699092341412301,-0.2524870456984911
2017-07-31,0.011884801754634558,0.011884801754634558,0.024266424105817697,0.13315815760729183,0.0,0.0007000000000000001,0.0,0.2518749445526605,-0.37049578403887906,0.12979821633195876,-0.2553328673429098,0.38330607414220264,-0.12726578189039858
2017-08-31,-0.02249624737697302,-0.02249624737697302,0.0019895624207131313,0.5053833365566848,0.0,0.0009,0.1265517560537165,0.3772798205098227,-0.270085771256171,-0.1266775956635551,-0.3815823824639557,0.2520179254431696,0.0
2017-09-30,-0.0005848945436344724,-0.0005848945436344724,0.02291483006535433,0.3906736645187393,0.0,0.0009,0.0,0.3863459911770922,0.12875722089623337,-0.13178012590484775,-0.38663204449779554,0.26053959940218124,-0.257815535616498
2017-10-31,-0.017841662165371735,-0.017841662165371735,0.019166245507121316,0.5321649929413242,0.0,0.0009,0.13574303809384328,0.3950078276809548,-0.40398836685319306,-0.13573194801300156,-0.2788736997015257,0.27000148662755047,0.0
2017-11-30,-0.035243802530078916,-0.035243802530078916,0.02224122131027695,0.3054747050507809,0.0,0.0008,0.15863039412044694,0.3233928257268333,-0.3458078771335116,-0.1567667029638812,-0.4884000828263393,0.4737076405463729,0.0
2017-12-31,0.053780843102181966,0.053780843102181966,0.013865376518407357,0.19805595308375873,0.0,0.0009,0.16219478139809673,0.31439115101947956,-0.2848692534796037,0.0,-0.4705962302600939,0.48919710641397496,-0.15653671198967176
2018-01-31,-0.005688842026111069,-0.005688842026111069,0.05305683494915692,0.4927528570566769,0.0,0.0011,0.15230789334111802,0.3100673228315225,-0.14068808437932362,-0.47483732548262475,-0.30997531724183786,0.45743666890503465,0.0
2018-02-28,0.003497589431436978,0.003497589431436978,-0.040948095978964316,1.0827495357681651,0.0,0.0011,0.14598432625043442,-0.42478480931514245,-0.29377428134328265,0.0,0.29621384857827365,0.42432826377518923,-0.1444697585140352
2018-03-31,0.013662176498969388,0.013662176498969388,-0.021035277324526147,0.7466990438057692,0.0,0.0012,0.0,-0.4418941407185908,0.4507375112736021,-0.29678878356330124,0.1481933529718366,0.2996323385649508,-0.14621810202952817
2018-04-30,0.002583586840401752,0.002583586840401752,0.01211031563564724,0.3078369155185966,0.0,0.0014000000000000002,0.0,-0.44949289648110446,0.2853438384865163,-0.15707817518034084,0.1521015596373123,0.4735271538473657,-0.3018178934693473
2018-05-31,0.019482053709829136,0.019482053709829136,0.007227008176986072,0.02860111707072166,0.0,0.0014000000000000002,0.0,-0.44361246321545145,0.31354731106565975,-0.1455102294175165,0.15129801386095856,0.45823578902602846,-0.31447636760984976
2018-06-30,-0.014684984271945038,-0.014684984271945038,-8.148939079111184e-05,0.6372457423885671,0.0,0.0014000000000000002,-0.15964190148781757,-0.4797205576939335,0.0,0.474055606113616,0.1543775052047733,0.31416353793714086,-0.31791917434572414
2018-07-31,-0.02556058147523984,-0.02556058147523984,0.03151734067650058,0.007496886822871557,0.0,0.0016,-0.1606947693961367,-0.5082902237452152,0.0,0.49380931933369826,0.15810872177184584,0.31852693915595826,-0.32702056859539036
2018-08-31,-0.029551036655038887,-0.029551036655038887,0.012918587757645428,0.5141919184095631,0.0,0.0016,-0.15231422873221953,-0.4643020360922396,0.14573610691822023,0.2961194347549916,0.4655161186021538,0.0,-0.32030643210594545
2018-09-30,0.012316304514020075,0.012316304514020075,0.006062778861925189,0.029025239527652874,0.0,0.0015,-0.15607508562946387,-0.4771927265747582,0.15489306959565122,0.3175347398926716,0.4898434836052475,0.0,-0.3166871763753281
2018-10-31,-0.0240218550691964,-0.0240218550691964,-0.07318309743114637,0.013214422610697066,0.0,0.0019,-0.1462391551479627,-0.46006674017093124,0.15107101939620193,0.29344710779484773,0.4346441454329655,0.0,-0.29687823237431754
2018-11-30,0.021143735853560483,0.021143735853560483,0.011937101716059662,0.49826030098899954,0.0,0.0018,-0.15966358246767848,-0.32106518543889234,0.17367423195242085,0.3134241779333795,0.47966782221422416,-0.46489372833989323,0.0
2018-12-31,0.007834420468757684,0.007834420468757684,-0.07562923425417822,0.16328291994581284,0.0,0.0019,-0.15347868927596883,-0.4549753990511827,0.1746057344279247,0.3065287907937438,0.4444372034978848,-0.30928321992364405,0.0
2019-01-31,-0.0037895692960193614,-0.0037895692960193614,0.07821671452246504,0.1800376846731601,0.0,0.0021,-0.17337284658114624,-0.5092997654287877,0.16805392551999485,0.5114474879585789,0.3427528617540974,-0.3433712325187565,0.0
2019-02-28,-0.004278659384990027,-0.004278659384990027,0.030656471488933912,0.7155663920386773,0.0,0.0018,-0.3890961104726291,-0.19700551858155976,0.5870116363847906,0.39130375344410817,0.18832249642706983,-0.5848149165867698,0.0
2019-03-31,0.03054592517509521,0.03054592517509521,0.013909444044370334,0.9667482013210786,0.0,0.0019,-0.1897896140071912,0.0,-0.35044075900246646,0.5684219353411721,0.19033977616025247,-0.5720850388005136,0.38409962548384186
2019-04-30,0.03628004133442482,0.03628004133442482,0.03602883048752492,1.1231216999735105,0.0,0.0021,-0.3812717859828821,-0.1916053560169188,0.6109084554762664,0.1980937443524627,0.37832340247923485,-0.5781684189737383,0.0
2019-05-31,0.03158781065938246,0.03158781065938246,-0.05681771129129787,0.7978913021613434,0.0,0.0021,-0.3707025330968639,0.5551950635147307,0.18753533986914184,0.0,0.3559977157885585,-0.5231314341567418,-0.17330634125944283
2019-06-30,-0.021978454786889763,-0.021978454786889763,0.06635086234743204,0.5581952087642436,0.0,0.0018,-0.1940286412940954,0.5922127158554579,0.3690715207667339,-0.4003630920111059,0.19250734184709428,-0.5813782999509745,0.0
2019-07-31,0.012668518469040956,0.012668518469040956,0.005260894511322833,0.023200287913788933,0.0,0.0019,-0.1974252527858023,0.5818640723043271,0.3913939058088726,-0.3824211054534905,0.19600516315272995,-0.576748264557596,0.0
2019-08-31,0.04688620185702475,0.04688620185702475,-0.019903497292386385,0.4144985512091799,0.0,0.0016,0.0,0.5899082408827151,0.4044680623030921,-0.38486012617513893,-0.19426571241264412,-0.5618923677834364,0.19352810504243706
2019-09-30,-0.04935809147741817,-0.04935809147741817,0.021827681482483374,0.21698949391238448,0.0,0.0018,0.0,0.5810454158379306,0.37261140472845533,-0.1982780793616323,-0.4002851291146091,-0.5991518017915058,0.19470009822394316
2019-10-31,-0.0017322796104253593,-0.0017322796104253593,0.025727575172623585,0.23921216148982433,0.0,0.0015,0.0,0.5666373389412195,0.3892892624902618,-0.3816805177360803,-0.19351239168769976,-0.5698868877711045,0.18742091615297793
2019-11-30,-0.07237550332952296,-0.07237550332952296,0.0283783863835374,0.9578368403647868,0.0,0.0012,-0.19572384574091226,0.0,0.5151725497134978,-0.5870036470715854,0.3875043077188069,-0.3921946398155379,0.19986977186620794
2019-12-31,-0.003395195250806467,-0.003395195250806467,0.030363063576867688,0.05891449085131295,0.0,0.0014000000000000002,-0.19003922857078887,0.0,0.5846398089580017,-0.5799209621214979,0.38455313571830096,-0.3957812897581058,0.19315334052328345
2020-01-31,0.0060022509297407295,0.0060022509297407295,-0.0057813886924513724,0.38630229860520926,0.0,0.0013,-0.19271337696103916,0.19327026438760886,0.5509992430405403,-0.3703013483101194,0.376098059686875,-0.5513505909141247,0.0
2020-02-29,0.10649413635147226,0.10649413635147226,-0.08417582112531241,1.1414113931100607,0.0,0.0012,-0.5114781947467303,0.0,0.6183990486159562,0.34700791501944855,0.17183150773329653,-0.1678932110762813,-0.3513729291942175
2020-03-31,0.12492380538907673,0.12492380538907673,-0.13168671410486532,0.10427167563497317,0.0,0.0012,-0.37052452957248666,0.0,0.48595724233535176,0.27823769694443495,0.15539568594110867,-0.1380638989117142,-0.2860783913476178
