DATE,MKT-RF,SMB,HML,UMD,BAB,RMW,CMA
28-02-86,0.0714,-0.0072,-0.0063,0.0256,0.0048,0.0116,-0.0123
31-03-86,0.0491,-0.0063,-0.0039,0.0238,0.0211,0.01,0.0081
30-04-86,-0.0128,0.0281,-0.0281,-0.0035,0.0051,0.029,-0.001
31-05-86,0.0463,-0.0129,-0.0014,0.0206,0.0123,0.0207,0.011
30-06-86,0.0106,-0.0087,0.012,0.0494,0.0593,0.0185,0.0083
31-07-86,-0.0643,-0.0353,0.0466,0.0189,0.0813,-0.0055,0.0081
31-08-86,0.0607,-0.0434,0.0354,-0.0517,0.0061,-0.0171,0.0332
30-09-86,-0.0859,0.021,0.0323,-0.0568,-0.0021,-0.0017,0.0371
31-10-86,0.0464,-0.0237,-0.0142,0.0448,-0.0019,-0.0001,0.0101
30-11-86,0.0116,-0.0186,-0.0002,-0.0027,0.0059,0.0098,0.007
31-12-86,-0.0326,0.0019,0.0036,0.0045,0.0151,0.0087,0.0009
31-01-87,0.1244,-0.0161,-0.0318,0.0203,-0.0419,0.0017,-0.0103
28-02-87,0.0437,0.0336,-0.0586,-0.0222,-0.0847,-0.0079,-0.0255
31-03-87,0.0163,0.0032,0.0166,0.0166,0.0134,0.013,0.0417
30-04-87,-0.0209,-0.0158,-0.0036,0.002,0.0019,-0.0052,0.0116
31-05-87,0.0011,-0.0058,0.0022,-0.0077,0.0051,0.0049,0.0113
30-06-87,0.0391,-0.0211,0.0113,-0.0022,0.036,0.0156,0.0107
31-07-87,0.0384,-0.0107,0.0094,0.0257,-0.0148,-0.0065,0.0158
31-08-87,0.0352,-0.0101,-0.0098,-0.0095,-0.0209,0.0211,-0.0155
30-09-87,-0.0258,0.0045,0.0026,0.008,0.03,-0.0088,0.0182
31-10-87,-0.2319,-0.0791,0.0418,-0.0775,0.1681,0.0229,0.0224
30-11-87,-0.0776,0.0278,0.0314,-0.0121,0.0244,-0.0193,0.006
31-12-87,0.0682,-0.0001,-0.0442,0.0588,-0.0606,0.0313,-0.0246
31-01-88,0.0421,-0.0056,0.0493,-0.0735,0.0304,-0.0119,0.021
