Date,ret_net,ret_gross,ret_bm,turnover,tcost,ret_rf,w_US,w_UK,w_EU,w_JP,w_CH,w_AU,w_EM
2000-01-31,-0.0053647717341345465,-0.0053647717341345465,-0.04348608311908664,0.0,0.0,0.0040999999999999995,-0.8483010043350375,-0.16864605544344533,0.49282969916920744,0.8624968147906409,0.17009852695252686,-0.5138427528680269,0.0
2000-02-29,-0.023189768590354595,-0.023189768590354595,-0.001212828824101564,0.3429071548794683,0.0,0.0043,-0.868415421675484,-0.1721579624770104,0.17221002717559145,0.8504574029891341,0.5134331249206946,-0.5187169395232802,0.0
2000-03-31,-0.032145553682529575,-0.032145553682529575,0.05442926311149998,0.01279077877050494,0.0,0.004699999999999999,-0.8791131176687433,-0.17520458688931206,0.17350931014239207,0.8600525545473439,0.5036236915873133,-0.5150134054015234,0.0
2000-04-30,-0.010770233270359496,-0.010770233270359496,-0.038301109449248694,1.7137810581960533,0.0,0.0046,-0.16781609206727988,-0.4985550286669727,0.4826508635228282,0.8544923117423353,-0.851260637433486,0.16971834963221566,0.0
2000-05-31,0.026275061111148825,0.026275061111148825,-0.011619824387154143,0.6775949507518277,0.0,0.005,0.17104162629936429,-0.49569582494269965,-0.17644576342322343,0.864439231203689,-0.8509017504272562,0.5138375424012748,0.0
2000-06-30,-0.0194888769233003,-0.0194888769233003,0.030136117069895274,1.0278788076843712,0.0,0.004,-0.16897145215673579,0.5036598013063046,-0.5076534740128967,0.8290444333306702,-0.8416645245246787,0.16609633913403607,0.0
2000-07-31,0.014508364904227883,0.014508364904227883,-0.023792266927673333,0.3464166183409018,0.0,0.0048,-0.16766095861022653,0.1645593954832616,-0.4880172255171167,0.8415441731288338,-0.8364527340869837,0.5005357145064595,0.0
2000-08-31,-0.015820871424816123,-0.015820871424816123,0.01687493416937813,0.3523556682387977,0.0,0.005,-0.16693574168936579,0.4734695829966311,-0.4698078748240281,0.8129142290023135,-0.8302434976847579,0.16478243077439106,0.0
2000-09-30,0.025921257234962324,0.025921257234962324,-0.03315693836523392,0.37863902840509794,0.0,0.0051,0.16773115547764872,0.5183237735837619,-0.5036076364001392,0.8433233402959992,-0.8324359171734622,-0.16741345854884604,0.0
2000-10-31,0.020551172515188357,0.020551172515188357,-0.015321869419774314,0.661182995779994,0.0,0.005600000000000001,0.16753200725378073,0.8198256468763281,-0.8024227677113659,0.5035770314673563,-0.501219549435842,-0.16674119593506892,0.0
2000-11-30,-0.031739324786518724,-0.031739324786518724,-0.02818826191734969,0.02419066735200172,0.0,0.0051,0.16934701450042447,0.8295993473011468,-0.8666215888876515,0.5053917807798343,-0.5029425156467139,-0.16651336283355878,0.0
2000-12-31,-0.027689702247570978,-0.027689702247570978,0.02434948321520647,0.6987098438684174,0.0,0.005,0.4969028372385108,0.8563255066468081,-0.8844289645432183,-0.16292338152554792,-0.49712252730574213,0.16355682724161844,0.0
2001-01-31,-0.01878955260150044,-0.01878955260150044,0.010555943009654012,0.46882606124524506,0.0,0.0054,0.5593460945644135,0.9104119159940836,-0.5541325793568,-0.1886516018629907,-0.9318371089450588,0.18607372700485206,0.0
2001-02-28,-0.005533051475256156,-0.005533051475256156,-0.048795867360239,0.01460829150836368,0.0,0.0038,0.5641317723489159,0.9178697609789981,-0.5552896411126943,-0.18802261719861987,-0.9304736137751813,0.1862512872833254,0.0
2001-03-31,-0.012746985671594506,-0.012746985671594506,-0.04922215763514304,1.5057102891293557,0.0,0.0042,1.2204772851230183,0.23914095933297091,-0.23339803540169735,-0.7339554369563085,-1.2349202083660418,0.7299084505964638,0.0
2001-04-30,-0.001690188158023762,-0.001690188158023762,0.038953114457780824,0.9934527425571182,0.0,0.0039000000000000003,1.1907777182640358,0.23927847100645067,-1.1974765146003172,-0.24418995105938218,-0.7169951680900578,0.7269152563212469,0.0
2001-05-31,0.05316240974101656,0.05316240974101656,-0.008216110784206476,0.5684775050631895,0.0,0.0032,1.25453394310934,0.24791115455385154,-1.18882590743353,-0.7604326708703533,-0.2516311003986719,0.7516069907803802,0.0
2001-06-30,-0.010928327682173514,-0.010928327682173514,-0.021359090411263826,0.12170702654142343,0.0,0.0028000000000000004,1.1725499450070078,0.23159537523377433,-1.176505280779167,-0.7035409482919862,-0.23694778735586255,0.7019203685040601,0.0
2001-07-31,0.031247130061619846,0.031247130061619846,0.003869245207709149,1.006362837944522,0.0,0.003,1.276625860065103,0.7676719621213959,-0.7802260600845886,-1.231738949383332,-0.24893948517237574,0.24785380251541742,0.0
2001-08-31,0.036558500785273985,0.036558500785273985,-0.00915581979293889,2.031028304981487,0.0,0.0031,1.2402158303017776,-0.2534093529439635,0.7724957269757861,-1.2278542267608716,0.24608169570924793,-0.7409711724967024,0.0
2001-09-30,0.030006550665462085,0.030006550665462085,-0.042868814854046255,0.5864694404465214,0.0,0.0028000000000000004,1.2111699770608948,0.23807371444583103,0.7089625824190782,-1.1818024242306127,-0.23733346215057619,-0.7090638368791532,0.0
2001-10-31,0.005721515652913203,0.005721515652913203,0.013630637349292485,1.4420066502224889,0.0,0.0022,1.1889317249208946,-0.2363147088032131,0.23692936806418344,-1.168718785534542,-0.7134423661505616,0.6983362831561518,0.0
2001-11-30,-0.01293036116327002,-0.01293036116327002,0.022979445001815035,0.026905613257362307,0.0,0.0017000000000000001,1.12951699188733,-0.22496116895522683,0.22777257797311937,-1.1566673041447948,-0.683788767750713,0.6951973098270153,0.0
