Date,ret_net,ret_gross,ret_bm,turnover,tcost,ret_rf,w_US,w_AU,w_UK,w_CH,w_JP,w_EU,w_EM
2012-06-30,-0.01152826276812173,-0.01152826276812173,0.02343200744667273,0.2543795167787086,0.0,0.0,-0.2039777300391069,0.3103971133650111,-0.10490745996918656,0.10414225797120505,0.20668356212062405,-0.32386600621666845,0.0
2012-07-31,0.011191691928397647,0.011191691928397647,0.011216697687921773,0.2280766131352241,0.0,0.0,0.0,0.31464280286359525,-0.19878259577751664,0.10068492951438306,0.19107992704173937,-0.2952434153544415,-0.10118995635936191
2012-08-31,-0.022113837002648646,-0.022113837002648646,0.016022967103475283,0.3120034682152587,0.0,0.0001,0.09989699335704888,0.2934884573194836,0.0,-0.1996501516408032,0.1929904694511297,-0.3133930493226776,-0.09544655616683
2012-09-30,-0.006305219899839131,-0.006305219899839131,0.019738222218502077,0.12465339753551555,0.0,0.0001,0.10708423033784399,0.3199004728969183,-0.10709137007831873,-0.21612198734136018,0.2146734795917305,-0.32475004530665297,0.0
2012-10-31,-0.01153700936550562,-0.01153700936550562,-0.0063943415003913096,0.010828109550351593,0.0,0.0001,0.10717797624875473,0.33659805543600696,-0.11011895155188471,-0.22339532782450713,0.2150047102963794,-0.33680347197025484,0.0
2012-11-30,0.0022215705218786505,0.0022215705218786505,0.0056209185518383276,0.6673165858015578,0.0,0.0001,0.3316530561256125,0.11072677161406137,-0.11132568510109961,0.0,-0.2242617879549367,-0.3405534010413501,0.23598261687959118
2012-12-31,-0.021079964975125366,-0.021079964975125366,0.004262503748241997,0.23659532101846173,0.0,0.0001,0.3323620763109108,0.22501508676841378,0.0,-0.11147383951025167,-0.23273754988030265,-0.3408359097265192,0.1065901710626236
2013-01-31,-0.020636173230301848,-0.020636173230301848,0.018077085770568324,0.24027651717445617,0.0,0.0,0.3445418186469641,0.0,0.22851795313915912,-0.11959271408438957,-0.2240325886377654,-0.3489683991344097,0.09889775684013957
2013-02-28,0.002128866001662246,0.002128866001662246,-0.005018977206025732,0.36495322852375656,0.0,0.0,0.11067505821162851,-0.11244771622303541,0.212217775350128,0.0,-0.2236825623304256,-0.3067069875901804,0.3220732985835471
2013-03-31,0.022213762357268706,0.022213762357268706,0.010487448866247195,0.22651965334266366,0.0,0.0,0.3406580924747742,-0.10858423303539429,0.11059108953336057,0.0,-0.23115226158918095,-0.31979301782375774,0.2304940927974669
2013-04-30,-0.06721462928272537,-0.06721462928272537,0.02151764148337909,0.13334053043975203,0.0,0.0,0.3329239917014346,-0.1128256511534616,0.0,0.11369737354572061,-0.23648369823289564,-0.3504169590393745,0.1858903138958511
2013-05-31,0.04358927951528417,0.04358927951528417,-0.016093652656552826,0.6317564240537634,0.0,0.0,0.10247934124547797,-0.1769865743424264,0.20143889915003754,-0.09836177977281899,-0.2819623698664457,0.0,0.2969817631014597
2013-06-30,-0.011242758003278461,-0.011242758003278461,-0.015392523383560675,0.28941807656244645,0.0,0.0,0.18657782336408868,-0.1753246687877209,0.2683271052112744,-0.0922622145443862,-0.2876653493814534,0.0891045461349189,0.0
2013-07-31,0.013374610898605845,0.013374610898605845,0.03392231934868084,0.37663124833903894,0.0,0.0,0.09939279234143188,-0.29293774542135015,0.20141086239976203,-0.09847920042551449,-0.19018857153868676,0.0,0.29417647354296333
2013-08-31,-0.0029826069622883593,-0.0029826069622883593,-0.013030174086485324,0.48117469181235395,0.0,0.0,-0.09152931834812882,-0.2870739562739782,0.2816354525884172,0.09333460835316709,-0.1849384768707114,0.18558908358894577,0.0
2013-09-30,-0.0022235466968722854,-0.0022235466968722854,0.035822545331181566,0.011499940631871493,0.0,0.0,-0.09839451788178608,-0.3063955612524728,0.30187120245605914,0.10148699411181568,-0.20840661828678247,0.20761495415629422,0.0
2013-10-31,0.006848914611416913,0.006848914611416913,0.025439243174733672,0.00821391109239051,0.0,0.0,-0.10682081405225421,-0.3220263479134348,0.31710459738642055,0.10503294861106412,-0.20458127312825616,0.21813980370787744,0.0
2013-11-30,0.030132722084303645,0.030132722084303645,0.004631593082167207,0.6770495241981026,0.0,0.0,-0.28319343400929897,-0.390081987264086,0.13889884399784608,0.0,0.41638813131547564,0.2769447457155838,-0.12882357767121697
2013-12-31,0.016465694162568115,0.016465694162568115,0.00751154421363931,0.1635189893154976,0.0,0.0,-0.2879029489990314,-0.41559977893945543,0.1444743399492695,0.0,0.28243928971952725,0.43191731589242693,-0.13886252346016875
2014-01-31,-0.015200906265467645,-0.015200906265467645,-0.014356024389216682,0.2961357960803155,0.0,0.0,0.0,-0.3997852019144559,0.13472206685587862,-0.13750388522294932,0.26965250511668454,0.4008750384213514,-0.28316142952197704
