Date,ret_net,ret_gross,ret_bm,turnover,tcost,ret_rf,w_US,w_AU,w_CH,w_JP,w_UK,w_EM,w_EU
2001-10-31,0.03653099918775476,0.03653099918775476,0.013630637349292485,0.0,0.0,0.0022,-0.4772814787808794,0.8158133864116232,0.47310842266723835,-0.774979108277308,0.15720936746228356,0.0,-0.1573395902952028
2001-11-30,0.03470968567138287,0.03470968567138287,0.022979445001815035,0.3421273215868941,0.0,0.0017000000000000001,-0.1547331275108618,0.803992115392231,0.4620303480657123,-0.7657289594058879,0.15174375110660934,0.0,-0.46259444197642
2001-12-31,0.03446342697386513,0.03446342697386513,-0.008954777577066197,0.036037237683339995,0.0,0.0015,-0.15811412350499254,0.7732124161204758,0.46898409729778784,-0.7401560776770306,0.16176603682639018,0.0,-0.4712289220887655
2002-01-31,0.033429463535762566,0.033429463535762566,-0.02468739554286603,0.6471189504146206,0.0,0.0014000000000000002,0.4642539644726436,0.7726471731640052,-0.14947067025213145,-0.7552597454406611,0.1503732513882636,0.0,-0.4491145097963573
2002-02-28,0.003943694708318876,0.003943694708318876,-0.0020207261760197825,0.018454274816039826,0.0,0.0013,0.45633838330926646,0.7775926662395393,-0.15401930767102184,-0.766847214911923,0.1530707012517907,0.0,-0.4621915335093328
2002-03-31,0.01872019214383091,0.01872019214383091,0.02205047615427369,0.009327499438768802,0.0,0.0013,0.4597759916679667,0.7896478054029545,-0.1546970658397865,-0.7688570560135027,0.15445343306436957,0.0,-0.4616029161381706
2002-04-30,-0.033328052083389355,-0.033328052083389355,-0.001331088822003279,0.03419370644900707,0.0,0.0015,0.4762369468374608,0.8036095217577367,-0.1650218290126194,-0.8181965255438347,0.162608435758225,0.0,-0.4925646018803577
2002-05-31,0.004701799469636163,0.004701799469636163,0.01487175660052431,0.3636663034130132,0.0,0.0014000000000000002,0.46947969727804456,0.826642127200526,0.16132612498660837,-0.8085727187287621,-0.1565012978402511,0.0,-0.48767213342652943
2002-06-30,-0.02614353688138831,-0.02614353688138831,-0.007288949609461026,0.6677463711206348,0.0,0.0013,-0.1565061384057794,0.7789552955180526,0.4968435513676363,-0.8116809013608861,0.1652290696208872,0.0,-0.49898441362129886
2002-07-31,-0.015740518912646412,-0.015740518912646412,-0.03563502705165478,0.07316394740869578,0.0,0.0015,-0.15343730417095272,0.7408709908036062,0.4586124192929065,-0.7640581734129261,0.15673989812335293,0.0,-0.45446834954863324
2002-08-31,0.0021186341580400744,0.0021186341580400744,0.010433158987546376,0.6289104976632202,0.0,0.0014000000000000002,-0.7721720553181209,0.7855064010359798,0.45890345761782736,-0.4681296116754756,0.1533931579277393,0.0,-0.15538271542990972
2002-09-30,-0.013024669431154025,-0.013024669431154025,-0.04407630862954959,0.9383673557235409,0.0,0.0014000000000000002,-0.46772948780625506,0.7703029555048292,0.47485586600421376,0.15148863449393177,-0.15798741821331277,0.0,-0.7839552194145609
2002-10-31,0.013281395425249561,0.013281395425249561,0.029076025631141977,0.02359469549290283,0.0,0.0014000000000000002,-0.4755848287371515,0.812518570708511,0.4742748662042285,0.1572480255228114,-0.15848726459013032,0.0,-0.7966879736830194
2002-11-30,0.005755153483070088,0.005755153483070088,0.02470264732376548,0.33009759935057353,0.0,0.0012,-0.4750275699247705,0.8027653067902105,0.1576019982892573,0.4742549252406502,-0.1578656322650421,0.0,-0.7959738746472353
2002-12-31,-0.016926083253074174,-0.016926083253074174,0.005356192545459937,0.982491680611264,0.0,0.0011,-0.16338602584492304,0.8201532027975749,0.5251548235967384,-0.5047930551810895,0.1692580175017943,0.0,-0.8633130461231692
2003-01-31,0.033768596512043385,0.033768596512043385,-0.0052626591732434225,0.4861104323129164,0.0,0.001,-0.5641299234954268,0.9857831962530941,0.5717839784454125,-0.18614748542867313,0.19270855689644342,0.0,-0.9662297261588068
2003-02-28,0.04851820949262478,0.04851820949262478,0.0009199299894242507,0.8164130374929015,0.0,0.0009,-0.5501870375076161,0.9529362755893415,0.1848404922949156,0.5578495562470785,-0.17551940760922877,0.0,-0.9214016695218661
2003-03-31,-0.011127799307169697,-0.011127799307169697,0.0007118765660765192,0.4221496546226279,0.0,0.001,-0.873788159068474,0.8705794724438175,0.17476845499456725,0.5236825756948215,-0.17625603641976542,0.0,-0.5301141069521366
2003-04-30,0.00545793094969391,0.00545793094969391,0.04390266004896226,0.348132662877994,0.0,0.001,-0.5226955184614713,0.9057307388495729,0.1736517615081762,0.5187591513060376,-0.1763399764594056,0.0,-0.8936482257932159
2003-05-31,-0.00826402503799601,-0.00826402503799601,0.04952453470403406,0.028154782114332644,0.0,0.0009,-0.5282272091983832,0.919733645092221,0.1836389403408214,0.5258039436261507,-0.18059106481356962,0.0,-0.9286222800852363
2003-06-30,0.04592037466667538,0.04592037466667538,-0.0014577828712760699,1.0910325224646749,0.0,0.001,0.5562657233498216,0.9593671188984522,0.17794853148961062,-0.5533126339474358,-0.18784231033148324,0.0,-0.9065060547922899
2003-07-31,-0.012885061251331157,-0.012885061251331157,-0.007534471300557399,0.7506703397821215,0.0,0.0007000000000000001,0.549957319012484,0.8857644309713423,-0.1805523864225058,-0.9098556719328065,0.178874451555093,0.0,-0.5370732044349382
2003-08-31,-0.014629008384590357,-0.014629008384590357,0.006985041585706675,0.02592773058786968,0.0,0.0007000000000000001,0.5485045718699852,0.9151919516317125,-0.1788668742489434,-0.9420127901406239,0.17942870298039082,0.0,-0.5368745704771117
